"en_cue","en_target","type","cue_type","target_type","en_cosine"
"attractive","charming","related","word","word",0.615354876864028
"follow","chase","related","word","word",0.426879732459239
"expensive","cheap","related","word","word",0.573119054390288
"lip","cheek","related","word","word",0.598974117498241
"bread","cheese","related","word","word",0.609897523211714
"cook","chef","related","word","word",0.594223800685507
"stomach","chest","related","word","word",0.571495893525735
"swallow","chew","related","word","word",0.544756181862654
"baby","child","related","word","word",0.641252732634339
"youth","childhood","related","word","word",0.489375732923071
"sugar","chocolate","related","word","word",0.567799184710351
"catholic","christian","related","word","word",0.665243000085029
"smoke","cigar","related","word","word",0.537919379805464
"tobacco","cigarette","related","word","word",0.577109046772578
"zoo","circus","related","word","word",0.575352295917416
"capital","city","related","word","word",0.475347606919261
"culture","civilization","related","word","word",0.601905484906379
"typical","classic","related","word","word",0.538421797323394
"patient","client","related","word","word",0.472100665327525
"hospital","clinic","related","word","word",0.698179636334589
"open","close","related","word","word",0.463316140116596
"locked","closed","related","word","word",0.490636198594734
"cabinet","closet","related","word","word",0.508852454679766
"opening","closure","related","word","word",0.364123249731085
"beach","coast","related","word","word",0.548886310139612
"cup","coffee","related","word","word",0.733536410636063
"rum","cognac","related","word","word",0.560853357524147
"hot","cold","related","word","word",0.541749168291158
"fall","collapse","related","word","word",0.480844646192344
"general","colonel","related","word","word",0.717287942112312
"arrive","come","related","word","word",0.442508961677721
"drama","comedy","related","word","word",0.589585819289972
"inspector","commissioner","related","word","word",0.683832448142064
"commission","committee","related","word","word",0.516490117361939
"navigation","communication","related","word","word",0.497154272438991
"racist","communist","related","word","word",0.466898592826088
"society","community","related","word","word",0.624592031257396
"patience","compassion","related","word","word",0.541047100996612
"total","complete","related","word","word",0.649290948296224
"absolutely","completely","related","word","word",0.623705129487914
"software","computer","related","word","word",0.622082335124967
"focus","concentrate","related","word","word",0.781467882574395
"tour","concert","related","word","word",0.527372426964126
"admit","confess","related","word","word",0.589056870455623
"respect","confidence","related","word","word",0.488846441054145
"confirmation","confirm","related","word","word",0.649244794321078
"chaos","confusion","related","word","word",0.641639296910343
"contact","connection","related","word","word",0.505588476929927
"always","constantly","related","word","word",0.540387009142469
"law","constitution","related","word","word",0.515537502522418
"contain","content","related","word","word",0.308535966870999
"proceed","continue","related","word","word",0.469921348370497
"opposite","contrary","related","word","word",0.400968650747687
"orphanage","convent","related","word","word",0.527568468034373
"warm","cool","related","word","word",0.447555108406545
"original","copy","related","word","word",0.383688683640166
"company","corporation","related","word","word",0.629944236413494
"body","corpse","related","word","word",0.650132942855138
"wrong","correct","related","word","word",0.460743136425888
"silk","cotton","related","word","word",0.609390378272041
"baron","countess","related","word","word",0.611285185099272
"relative","cousin","related","word","word",0.385069278440556
"rodeo","cowboy","related","word","word",0.547704681530673
"paranoid","crazy","related","word","word",0.502283686631299
"imagination","creativity","related","word","word",0.56681379259354
"monster","creature","related","word","word",0.631194692460449
"scary","creepy","related","word","word",0.648903412568784
"sin","crime","related","word","word",0.506291295154835
"thief","criminal","related","word","word",0.568378536380849
"situation","crisis","related","word","word",0.516747204694694
"brutal","cruel","related","word","word",0.635598009868972
"evil","cruelty","related","word","word",0.41581720711715
"tear","cut","related","word","word",0.385310326001254
"sweet","cute","related","word","word",0.555686323929156
"naive","cynical","related","word","word",0.577525753082556
"uncle","dad","related","word","word",0.600457230136518
"dancer","dance","related","word","word",0.604207483634978
"risk","danger","related","word","word",0.611316530108402
"risky","dangerous","related","word","word",0.640974554569436
"shadow","dark","related","word","word",0.372040097625353
"sunset","dawn","related","word","word",0.527841111666275
"alive","dead","related","word","word",0.512706553272443
"blind","deaf","related","word","word",0.67076427708912
"century","decade","related","word","word",0.635595383235817
"november","december","related","word","word",0.754205786573914
"cabin","deck","related","word","word",0.349222561608226
"victory","defeat","related","word","word",0.637150864883063
"protect","defend","related","word","word",0.680114388364595
"concept","definition","related","word","word",0.497581499320024
"tasty","delicious","related","word","word",0.772105463209086
"freedom","democracy","related","word","word",0.60224358758903
"protest","demonstration","related","word","word",0.515105983663395
"arrival","departure","related","word","word",0.711474416064052
"stress","depression","related","word","word",0.497286202534646
"profile","description","related","word","word",0.515313049250677
"fate","destiny","related","word","word",0.800204516442482
"creation","destruction","related","word","word",0.509788204155339
"agent","detective","related","word","word",0.440200970644247
"courage","determination","related","word","word",0.614480312530377
"progress","development","related","word","word",0.440521254471908
"chip","device","related","word","word",0.439351530216623
"angel","devil","related","word","word",0.453142421868024
"fidelity","devotion","related","word","word",0.544673023392816
"suffer","die","related","word","word",0.522568449511272
"similar","different","related","word","word",0.589587750201069
"pride","dignity","related","word","word",0.536893906902321
"ping","ding","related","word","word",0.373954556870287
"direct","directly","related","word","word",0.615047150304762
"producer","director","related","word","word",0.612302389328178
"death","disappearance","related","word","word",0.416135252577426
"surprise","disappointment","related","word","word",0.43927419231999
"conversation","discussion","related","word","word",0.729747571503401
"flu","disease","related","word","word",0.551022869519575
"dirty","disgusting","related","word","word",0.544560076123461
"resignation","dismissal","related","word","word",0.542205808825487
"conflict","dispute","related","word","word",0.570491933700606
"county","district","related","word","word",0.539715860544117
"interrupt","disturb","related","word","word",0.676772314446171
"god","divine","related","word","word",0.517087164728288
"unit","division","related","word","word",0.566883436373341
"make","do","related","word","word",0.394937309586147
"surgeon","doctor","related","word","word",0.703491750467806
"file","document","related","word","word",0.519992112291378
"pound","dollar","related","word","word",0.483617763561828
"charity","donation","related","word","word",0.58068581459366
"window","door","related","word","word",0.58095382472167
"paint","draw","related","word","word",0.366594100711676
"nightmare","dream","related","word","word",0.60219457503423
"skirt","dress","related","word","word",0.642245861226671
"passenger","driver","related","word","word",0.578298909704142
"alcohol","drug","related","word","word",0.529816473782741
"sober","drunk","related","word","word",0.561446752745189
"goose","duck","related","word","word",0.59033602207266
"ash","dust","related","word","word",0.272335846715924
"rusty","dusty","related","word","word",0.264751398365896
"responsibility","duty","related","word","word",0.470923935002801
"gunpowder","dynamite","related","word","word",0.595546766006343
"eye","ear","related","word","word",0.466056878911554
"late","early","related","word","word",0.59864089890927
"west","east","related","word","word",0.888417597562888
"impossible","easy","related","word","word",0.4965500077763
"feed","eat","related","word","word",0.519602366554489
"health","education","related","word","word",0.418735933970524
"influence","effect","related","word","word",0.457484152891602
"useful","effective","related","word","word",0.482820942709918
"nest","egg","related","word","word",0.441675147175734
"campaign","election","related","word","word",0.582441414810983
"magnetic","electric","related","word","word",0.509502121491684
"current","electricity","related","word","word",0.284909840649505
"fashionable","elegant","related","word","word",0.549284926558142
"factor","element","related","word","word",0.443404589689383
"urgent","emergency","related","word","word",0.44626072250717
"mental","emotional","related","word","word",0.581502405411958
"imperial","emperor","related","word","word",0.610028455410689
"dynasty","empire","related","word","word",0.626830351355654
"power","energy","related","word","word",0.526944962379814
"tank","engine","related","word","word",0.408398363490142
"exit","entrance","related","word","word",0.724876828670863
"millionaire","entrepreneur","related","word","word",0.522694690960528
"plague","epidemic","related","word","word",0.648529111200543
"series","episode","related","word","word",0.478117201089655
"equipment","equip","related","word","word",0.539157300837223
"orgasm","erection","related","word","word",0.570871726830407
"flee","escape","related","word","word",0.635242618596912
"observation","evaluation","related","word","word",0.435930494455232
"night","evening","related","word","word",0.617959070633623
"phenomenon","event","related","word","word",0.41638498464296
"finally","eventually","related","word","word",0.533682715036556
"never","ever","related","word","word",0.572233095124233
"underestimate","exaggerate","related","word","word",0.482861884368417
"proud","excited","related","word","word",0.426741809383787
"forgive","excuse","related","word","word",0.499685555384667
"hanging","execution","related","word","word",0.265522049021673
"practice","exercise","related","word","word",0.487058627053708
"gallery","exhibition","related","word","word",0.594926685703981
"wait","expect","related","word","word",0.301635718470878
"burst","explode","related","word","word",0.551580673610959
"earthquake","explosion","related","word","word",0.518166608019714
"bomb","explosive","related","word","word",0.579697615978113
"describe","express","related","word","word",0.387239928307328
"internal","external","related","word","word",0.763738687021491
"success","failure","related","word","word",0.560074697318739
"hope","faith","related","word","word",0.331595059238943
"loyal","faithful","related","word","word",0.684497022344239
"fake","false","related","word","word",0.636502238753859
"clan","family","related","word","word",0.586793810563425
"popular","famous","related","word","word",0.521968765245466
"wonderful","fantastic","related","word","word",0.781274396540222
"reality","fantasy","related","word","word",0.581615171313217
"near","far","related","word","word",0.317628757750435
"slow","fast","related","word","word",0.560384852610661
"deadly","fatal","related","word","word",0.55767848246397
"mother","father","related","word","word",0.822364763290278
"mail","fax","related","word","word",0.498775403441395
"horror","fear","related","word","word",0.48124003136353
"colony","federation","related","word","word",0.444625758404698
"impression","feeling","related","word","word",0.372719334680811
"male","female","related","word","word",0.902065942151173
"wall","fence","related","word","word",0.541576492906163
"carnival","festival","related","word","word",0.55840991341149
"cough","fever","related","word","word",0.511473367683061
"combat","fight","related","word","word",0.484072737145509
"champion","fighter","related","word","word",0.479433575032097
"nasty","filthy","related","word","word",0.569098102387029
"banking","financial","related","word","word",0.60323121678195
"financially","financing","related","word","word",0.577340033354313
"search","find","related","word","word",0.486747382519353
