"cue","target","cosine","fake_cue","fake_target"
"mesto","mestece",0.5014514725437,"lesto","meszece"
"mesto","okrožje",0.479918201236525,"mestš","okvožje"
"mesto","področje",0.46254817731191,"mcsto","pojročje"
"mesto","oporišče",0.461108577497566,"mmsto","opkrišče"
"mesto","kraj",0.445802189745889,"mcsto","krgj"
"ime","priimek",0.583525083668606,"ime","prfimek"
"ime","vzdevek",0.451425282576825,"fme","čzdevek"
"ime","naslov",0.425507683313224,"eme","raslov"
"ime","besedilo",0.397906926364603,"iže","besedily"
"ime","poimenovati",0.382383784277905,"ibe","phimenovati"
"dolgo","predolgo",0.623808661463029,"eolgo","predslgo"
"dolgo","večno",0.482266887740041,"dolgo","aečno"
"dolgo","nedogled",0.405389594381081,"dclgo","nedokled"
"dolgo","tedne",0.398410203527682,"dolgm","tidne"
"dolgo","vekomaj",0.359537310138274,"dolgo","vekogaj"
"oče","očka",0.603319088383122,"očv","očra"
"oče","mama",0.576412471930342,"očl","žama"
"oče","dedek",0.573096278729834,"vče","dedjk"
"oče","stric",0.524645312929946,"očl","rtric"
"oče","brat",0.512452453666451,"tče","brav"
"doma","zdoma",0.52823438684731,"dola","zdoma"
"doma","domov",0.385879634118206,"domo","domol"
"doma","domači",0.34627872707394,"aoma","doiači"
"doma","prižgano",0.316308907084678,"dona","crižgano"
"doma","zvečer",0.315893533678,"dlma","zveyer"
"reči","povedati",0.568874918807115,"rtči","povedatu"
"reči","izreči",0.462084109083381,"reči","izreji"
"reči","dopovedati",0.453973679893844,"ueči","dapovedati"
"reči","vedati",0.449965433106272,"reča","vedjti"
"reči","priznati",0.428117813874303,"oeči","priznati"
"zame","pretežko",0.343359323101008,"hame","pretežkv"
"zame","odveč",0.304534859043406,"zamv","odvnč"
"zame","zanimati",0.287707222625763,"zamc","zasimati"
"zame","prestar",0.284154620941825,"zkme","pšestar"
"zame","predober",0.279422832344843,"zamv","predošer"
"hitro","prehitro",0.554640664500904,"hivro","prehitry"
"hitro","čimprej",0.447954742705781,"hztro","čimžrej"
"hitro","zlahka",0.434118308247371,"httro","mlahka"
"hitro","počasi",0.432123864460511,"hftro","počaoi"
"hitro","kmalu",0.424725504150199,"hftro","kmalu"
"verjetno","gotovo",0.753563437937387,"veršetno","gwtovo"
"verjetno","očitno",0.661484312906657,"včrjetno","očatno"
"verjetno","ocitno",0.48540092774008,"verjetvo","bcitno"
"verjetno","torej",0.471626290765932,"verjktno","threj"
"verjetno","zagotovo",0.442780564504349,"vedjetno","zaxotovo"
"fant","fantek",0.638517540245082,"fank","fanjek"
"fant","fantič",0.607935040333152,"fanm","šantič"
"fant","poba",0.580347674377432,"fana","popa"
"fant","tip",0.556994945663056,"hant","tic"
"fant","deček",0.553638982251017,"fanl","djček"
"iti","oditi",0.643063445200133,"igi","oditč"
"iti","priti",0.619818662131598,"iji","ariti"
"iti","peljati",0.604269775940334,"itč","pbljati"
"iti","pojditi",0.567806882131113,"itd","pouditi"
"iti","odpotovati",0.543080045277323,"hti","odpotmvati"
"del","delček",0.552756348314873,"dej","delčer"
"del","košček",0.454777509611891,"dew","kkšček"
"del","ostanek",0.420588409535301,"dež","ostanžk"
"del","vidik",0.413439561222301,"mel","vkdik"
"del","preostanek",0.390277524662501,"deh","preostnnek"
"govoriti","pogovarjati",0.750389299384282,"govorivi","pogotarjati"
"govoriti","pogovoriti",0.705473454566931,"goveriti","pogovorici"
"govoriti","spregovoriti",0.696433929518156,"govcriti","spregovzriti"
"govoriti","razpravljati",0.597002912343953,"ghvoriti","razpravlrati"
"govoriti","dogovoriti",0.585198304169395,"oovoriti","pogovoriti"
"narediti","napraviti",0.805341483241429,"nahediti","natraviti"
"narediti","storiti",0.763912582417273,"najediti","stogiti"
"narediti","ponarediti",0.585349813505247,"nareeiti","ponaredrti"
"narediti","postoriti",0.585170404747896,"iarediti","postorioi"
"narediti","urediti",0.548315032470905,"naredith","uredith"
"poti","pot",0.480510152525438,"ioti","poč"
"poti","prispeti",0.352699965207516,"pcti","prisoeti"
"poti","potovanje",0.346173711886478,"voti","potovanje"
"poti","goti",0.336798278979833,"pogi","toti"
"poti","dieti",0.332257526175695,"poty","dieri"
"mama","mati",0.683214078949786,"mšma","mcti"
"mama","babica",0.676794074990278,"mawa","babicq"
"mama","mamica",0.660975178820233,"mnma","mamica"
"mama","oče",0.576412471930342,"maša","očm"
"mama","očka",0.544336750179093,"zama","očkv"
"konec","začetek",0.534850601661696,"ionec","začetdk"
"konec","zaključek",0.496776554223697,"konžc","žaključek"
"konec","vrhunec",0.420769853973126,"koneu","vrhundc"
"konec","končan",0.408970803209715,"kdnec","kotčan"
"konec","zaključen",0.374998810880499,"konfc","zarljučen"
"svet","svetoven",0.501972196192333,"gvet","svetovcn"
"svet","sveta",0.444086076474785,"svem","svetg"
