"word_combo","da_cue","da_target","type","cue_type","target_type","da_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"ønvstolttur","ønv","stolttur","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"operationelfunktionel","operationel","funktionel","related","word","word",0.50593062787228,-0.281750014037066,0.60069616018645,0.0916053056327188,43,50,50,0,1,46,50,0,0.92,FALSE,TRUE,FALSE
"operationellonka","operationel","lonka","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"operationelseng","operationel","seng","unrelated","word","word",0.12709451406947,-0.54876674530336,0.907607607575893,0.131001874138123,48,52,53,0,0.981132075471698,52,53,0,0.981132075471698,FALSE,TRUE,FALSE
"operekalkun","opere","kalkun","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"operereabform","operere","abform","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opereregade","operere","gade","unrelated","word","word",0.11813920198229,-0.313016297931796,0.601899311079163,0.0649044719029052,86,95,105,1,0.904761904761905,88,105,1,0.838095238095238,TRUE,TRUE,TRUE
"operereoperation","operere","operation","related","word","word",0.512036029464182,-0.408577442301307,0.560360896245955,0.0792469979294572,50,53,55,0,0.963636363636364,48,55,0,0.872727272727273,TRUE,TRUE,TRUE
"operesprinke","opere","sprinke","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opgavemission","opgave","mission","related","word","word",0.601227749171185,-0.439425137587819,1.28116569334174,0.175981642149134,53,55,56,0,0.982142857142857,56,56,0,1,FALSE,TRUE,TRUE
"opgaveskors","opgave","skors","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opgavesol","opgave","sol","unrelated","word","word",0.0310266835547442,-0.56069348190661,0.449298050990692,0.0629143112594868,51,53,55,0,0.963636363636364,54,55,0,0.981818181818182,TRUE,TRUE,TRUE
"opkaldbror","opkald","bror","unrelated","word","word",0.125048989183215,-0.697560558947624,0.521003963528382,0.0729551473828448,51,53,53,1,1,52,52,2,1,TRUE,TRUE,TRUE
"opkaldsetær","opkald","setær","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opkaldtelefon","opkald","telefon","related","word","word",0.434579599523503,-0.758427096633142,0.39128171311794,0.0547903990123412,51,56,57,0,0.982456140350877,54,57,0,0.947368421052632,TRUE,TRUE,TRUE
"opmærkelånhundrede","opmærkelån","hundrede","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opmærkelånkradde","opmærkelån","kradde","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opmærksomhedårt","opmærksomhed","årt","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opmærksomhedefterår","opmærksomhed","efterår","unrelated","word","word",0.0979876825157933,-0.45317240507648,0.649945817580865,0.0853420668586393,58,67,70,0,0.957142857142857,68,70,0,0.971428571428571,TRUE,TRUE,TRUE
"opmærksomhedtiltrække","opmærksomhed","tiltrække","related","word","word",0.427874088501311,-0.0817820024035515,1.51944236748781,0.234455047377701,42,48,50,0,0.96,50,50,0,1,FALSE,TRUE,FALSE
"opmærksomkomstkulne","opmærksomkomst","kulne","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opmærksomkomstprojektil","opmærksomkomst","projektil","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opnåflyvning","opnå","flyvning","unrelated","word","word",0.128293022815491,-0.121661869947004,0.902074944382426,0.104162642393682,75,81,82,1,0.98780487804878,80,83,0,0.963855421686747,FALSE,TRUE,TRUE
"opnåkavmark","opnå","kavmark","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opnåvinde","opnå","vinde","related","word","word",0.321744907538261,-0.555701960662569,0.548148286819818,0.0783068981171168,49,51,54,0,0.944444444444444,51,54,0,0.944444444444444,TRUE,TRUE,FALSE
"optagebagende","optage","bagende","unrelated","word","word",0.101221793702645,0.545838426521721,1.00267763278959,0.154716517671495,42,45,52,1,0.865384615384615,51,52,1,0.980769230769231,FALSE,TRUE,FALSE
"optageoptagelse","optage","optagelse","related","word","word",0.632132282893968,-0.310719300904379,0.772918628548827,0.109307200710456,50,51,53,1,0.962264150943396,52,53,1,0.981132075471698,FALSE,TRUE,TRUE
"optageysle","optage","ysle","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"optimistiskepige","optimistisk","epige","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"optimistiskomkreds","optimistisk","omkreds","unrelated","word","word",0.0986431423628853,-0.453852173166666,0.555082685189078,0.0877662787459849,40,48,51,1,0.941176470588235,51,51,1,1,TRUE,TRUE,FALSE
"optimistiskrealistisk","optimistisk","realistisk","related","word","word",0.539111882439016,-0.182464595027541,0.956265260979049,0.120478098474326,63,69,71,0,0.971830985915493,68,70,1,0.971428571428571,FALSE,TRUE,TRUE
"optimivendtsandsynligvis","optimivendt","sandsynligvis","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"optimivendtstøtning","optimivendt","støtning","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordæst","ord","æst","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordbogæb","ordbog","æb","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordbogsyg","ordbog","syg","unrelated","word","word",0.105114149207765,-0.811304051982299,0.316102277501086,0.044703612793906,50,53,53,1,1,53,54,0,0.981481481481482,TRUE,TRUE,TRUE
"ordbogudtryk","ordbog","udtryk","related","word","word",0.251791916268977,-0.542118419123013,0.714372549038049,0.10532848605353,46,49,51,0,0.96078431372549,47,51,0,0.92156862745098,FALSE,TRUE,FALSE
"ørdkampagdersøgelse","ørd","kampagdersøgelse","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ørdpoker","ørd","poker","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordsætning","ord","sætning","related","word","word",0.45097053079267,-0.381757945094804,0.757489167261845,0.102139818477066,55,56,57,0,0.982456140350877,56,57,0,0.982456140350877,FALSE,TRUE,TRUE
"ordvision","ord","vision","unrelated","word","word",0.118978694299678,-0.392430212506497,0.505083071064734,0.0721547244378191,49,50,52,0,0.961538461538462,48,51,1,0.941176470588235,TRUE,TRUE,FALSE
