"word_combo","en_cue","en_target","type","cue_type","target_type","en_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"hurnerdeparture","hurner","departure","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hurnerhithtenant","hurner","hithtenant","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hurricanedisturb","hurricane","disturb","unrelated","word","word",0.0662506507896738,-0.169192161734677,1.01333117639366,0.067706037167887,224,251,262,7,0.958015267175573,249,261,8,0.954022988505747,TRUE,TRUE,TRUE
"hurricanerememsive","hurricane","rememsive","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hurricanetornado","hurricane","tornado","related","word","word",0.713152436956878,-0.256947411633878,0.757529915926091,0.0473456197453807,256,291,306,3,0.950980392156863,287,307,2,0.93485342019544,TRUE,TRUE,TRUE
"hurriliftheadister","hurrilift","headister","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hurriliftrecently","hurrilift","recently","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"husbandliberal","husband","liberal","unrelated","word","word",0.133701657410642,-0.133787635950354,0.913830543288644,0.0579116576151973,249,279,287,2,0.97212543554007,278,286,3,0.972027972027972,TRUE,TRUE,TRUE
"husbandtakfee","husband","takfee","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"husbandwife","husband","wife","related","word","word",0.874292451649368,-0.553298002219903,0.92316613021224,0.0581539999842728,252,290,298,3,0.973154362416107,281,296,5,0.949324324324324,TRUE,TRUE,TRUE
"ideafeti","idea","feti","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idealaudigled","ideal","audigled","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idealperfect","ideal","perfect","related","word","word",0.653340204856339,-0.56252094769181,0.639421158698422,0.0390588638339256,268,297,306,8,0.970588235294118,293,304,10,0.963815789473684,TRUE,TRUE,TRUE
"idealsong","ideal","song","unrelated","word","word",0.149558207009125,-0.456762224866902,0.836307055274963,0.0520662030385124,258,287,306,2,0.937908496732026,287,306,2,0.937908496732026,TRUE,TRUE,TRUE
"ideamirror","idea","mirror","unrelated","word","word",0.109291955214391,-0.4783531136706,0.68390514756147,0.0426608309975904,257,290,297,3,0.976430976430976,282,296,4,0.952702702702703,TRUE,TRUE,TRUE
"ideatheory","idea","theory","related","word","word",0.467587430557846,-0.479328759789568,0.585569015203813,0.0370346363053163,250,294,302,8,0.973509933774834,278,304,6,0.914473684210526,TRUE,TRUE,TRUE
"idertchairlate","idert","chairlate","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idertforever","idert","forever","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idovcrisic","idov","crisic","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idovpresident","idov","president","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ienassishole","ien","assishole","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iendbattle","iend","battle","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iendhorrimand","iend","horrimand","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iendirectly","ien","directly","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iendisease","ien","disease","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ienhundons","ien","hundons","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"igadattract","igad","attract","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"igadfederalysts","igad","federalysts","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ignohawksuse","ignohawks","use","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ignohawksventilabeled","ignohawks","ventilabeled","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ignorancealarm","ignorance","alarm","unrelated","word","word",0.110076879151205,-0.451955378514516,0.585256211769467,0.0371638066111863,248,276,290,2,0.951724137931034,271,290,2,0.93448275862069,TRUE,TRUE,TRUE
"ignorancearrogance","ignorance","arrogance","related","word","word",0.618950556357112,-0.266572933023621,0.757786726629256,0.0464628853035936,266,305,312,3,0.977564102564103,291,311,4,0.935691318327974,TRUE,TRUE,TRUE
"ignoranceregled","ignorance","regled","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ildcancer","ild","cancer","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ildmeypire","ild","meypire","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illdecade","ill","decade","unrelated","word","word",0.0954610822694789,-0.172652836946904,0.851214754533685,0.0518032802599247,270,301,320,1,0.940625,276,320,1,0.8625,TRUE,TRUE,TRUE
"illdefinipressed","ill","definipressed","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illebookcommissioner","illebook","commissioner","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
