"word_combo","he_cue","he_target","type","cue_type","target_type","he_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"שוכרבזם","שוכר","בזם","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוכרבעל בית","שוכר","בעל בית","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוכרישבן","שוכר","ישבן","unrelated","word","word",0.124358232780459,-0.33842176567554,0.480783615374001,0.181719125816305,7,7,7,0,1,5,7,0,0.714285714285714,FALSE,FALSE,FALSE
"שולדתחרק","שולדת","חרק","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שולדתמרתום","שולדת","מרתום","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שולחן כתיבהחשטא","שולחן כתיבה","חשטא","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שולחן כתיבהמשרד","שולחן כתיבה","משרד","related","word","word",NA,-0.832583434026163,0.146423091141612,0.10353676066853,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"שולחן כתיבהפלדה","שולחן כתיבה","פלדה","unrelated","word","word",NA,-0.270129263575044,0.909802569274431,0.371425343565917,6,6,8,0,0.75,8,8,0,1,FALSE,FALSE,FALSE
"שולחןדינמגש","שולחן","דינמגש","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שולחןהופעה","שולחן","הופעה","unrelated","word","word",0.135886201684528,-0.347662574896636,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"שולחןכסא","שולחן","כסא","related","word","word",0.543853922014985,-1.18743445568798,0.0472773278267985,0.0334301191027087,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"שוםבצל","שום","בצל","related","word","word",0.170668303540282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
