"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"职业转移","职业","转移","unrelated","word","word",0.776581222747442,0.551610945918937,1.84518148978427,0.461295372446067,16,18,20,1,0.9,16,20,1,0.8,FALSE,FALSE,FALSE
"职业锁具","职业","锁具","unrelated","word","word",NA,0.182983090084758,1.29703142344469,0.305713238309926,18,20,36,1,0.555555555555556,34,37,0,0.918918918918919,FALSE,FALSE,FALSE
"职业降不","职业","降不","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"职大版秃","职大","版秃","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"职大番茄","职大","番茄","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"职标滋人","职标","滋人","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"职标笨蛋","职标","笨蛋","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"联场水僻","联场","水僻","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"联场虚弱","联场","虚弱","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"联气小径","联气","小径","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"联气海贺","联气","海贺","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"联盟团队","联盟","团队","related","word","word",0.741557584702234,-0.835158189189217,0.326282128630015,0.0941895373981515,12,16,16,0,1,14,16,0,0.875,FALSE,FALSE,FALSE
