"word_combo","ur_cue","ur_target","type","cue_type","target_type","ur_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"نڈسبٹوہ","نڈس","بٹوہ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نڈسہیرونگ","نڈس","ہیرونگ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نڈلباپ","نڈل","باپ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نڈلضگی","نڈل","ضگی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نرمدھیما","نرم","دھیما","related","word","word",0.396701444264054,-0.176481275550061,1.12362275908744,0.561811379543722,4,8,11,0,0.727272727272727,10,11,0,0.909090909090909,FALSE,FALSE,FALSE
"نرمفاتح","نرم","فاتح","unrelated","word","word",0.106806311813461,-0.631622882477731,0.26254758032068,0.0928245872144364,8,12,18,0,0.666666666666667,13,17,1,0.764705882352941,FALSE,FALSE,FALSE
"نرمھھاڈ راں","نرم","ھھاڈ راں","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نسدبحران","نسد","بحران","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نسدموسیاف","نسد","موسیاف","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نسگراوتمی","نسگر","اوتمی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نسگرمرجانا","نسگر","مرجانا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نسل پرستاشتراکیت پسند","نسل پرست","اشتراکیت پسند","related","word","word",NA,1.42122747437471,0.819893175225394,0.273297725075131,9,11,19,2,0.578947368421053,18,19,2,0.947368421052632,FALSE,FALSE,FALSE
"نسل پرستکارکردگی","نسل پرست","کارکردگی","unrelated","word","word",NA,-0.543342658813497,0.50929904738628,0.136115895909272,14,28,32,0,0.875,29,32,0,0.90625,FALSE,FALSE,FALSE
"نسل پرستگجبہ","نسل پرست","گجبہ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نسیٹپرستدھوکہ","نسیٹپرست","دھوکہ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نسیٹپرستمقندی","نسیٹپرست","مقندی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نشانہ لگاناالاز","نشانہ لگانا","الاز","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نشانہ لگاناجلدی جلدی","نشانہ لگانا","جلدی جلدی","unrelated","word","word",NA,-0.325386325902878,0.66505506784572,0.16626376696143,16,25,27,2,0.925925925925926,25,28,1,0.892857142857143,FALSE,FALSE,FALSE
"نشانہ لگاناگولی مارنا","نشانہ لگانا","گولی مارنا","related","word","word",NA,-0.67717122042176,0.335732167189124,0.0969175285511285,12,23,25,1,0.92,24,25,1,0.96,FALSE,FALSE,FALSE
