"word_combo","ur_cue","ur_target","type","cue_type","target_type","ur_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"آ ششتہ آششتہپریتوکول","آ ششتہ آششتہ","پریتوکول","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آ ششتہ آششتہطیش","آ ششتہ آششتہ","طیش","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آآزاد","آ","آزاد","related","word","word",0.109556082667678,-0.100229685107135,0.878341054774023,0.277755829552062,10,14,16,0,0.875,10,16,0,0.625,FALSE,FALSE,FALSE
"آبادیججپت","آبادی","ججپت","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبادیلوگ","آبادی","لوگ","related","word","word",0.307339666389976,-0.899768406485511,0.52341317078467,0.123369667474731,18,29,31,0,0.935483870967742,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"آبادییقین","آبادی","یقین","unrelated","word","word",0.12484558538155,-0.888909498152763,0.343866729562649,0.0833999321836767,17,29,31,1,0.935483870967742,29,31,1,0.935483870967742,FALSE,FALSE,FALSE
"آبدوزجیکھانا","آبدوز","جیکھانا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبدوزفروخت","آبدوز","فروخت","unrelated","word","word",0.0993875612568013,-0.677957096166247,0.318626430326518,0.0919795276599725,12,23,24,1,0.958333333333333,9,24,1,0.375,FALSE,FALSE,FALSE
"آبدوزکشتی","آبدوز","کشتی","related","word","word",0.374589111528257,-0.156051461045535,1.03949242747756,0.300075616412373,12,19,20,0,0.95,15,20,0,0.75,FALSE,FALSE,FALSE
"آپرمیںپسمار","آپرمیں","پسمار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آپرمیںگولی مارنا","آپرمیں","گولی مارنا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آپریشنسرجری","آپریشن","سرجری","related","word","word",0.349274868423606,-0.580489562053866,0.457882803353301,0.0999182193230992,21,41,43,1,0.953488372093023,37,43,1,0.86046511627907,FALSE,FALSE,FALSE
"آپریشنقلہام","آپریشن","قلہام","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آپریشنگلی","آپریشن","گلی","unrelated","word","word",0.145214755798569,-0.410242382408257,0.751867821222115,0.187966955305529,16,30,33,0,0.909090909090909,30,33,0,0.909090909090909,FALSE,FALSE,FALSE
"آتمااضافی","آتما","اضافی","unrelated","word","word",0.140397262664926,-0.532496486854401,0.621893699305625,0.150831377067247,17,29,33,0,0.878787878787879,13,32,1,0.40625,FALSE,FALSE,FALSE
"آتمادوراانہ","آتما","دوراانہ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آتماروح","آتما","روح","related","word","word",0.340964936081276,-0.730998810097772,0.288493950809419,0.074488817797764,15,22,23,0,0.956521739130435,18,23,0,0.782608695652174,FALSE,FALSE,FALSE
"آٹوگرافظاق","آٹوگراف","ظاق","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آٹوگراففاعل","آٹوگراف","فاعل","unrelated","word","word",NA,0.61016370345157,1.29541894453736,0.373955238170993,12,21,25,0,0.84,22,24,1,0.916666666666667,FALSE,FALSE,FALSE
"آٹوگراففوٹوگرافر","آٹوگراف","فوٹوگرافر","related","word","word",NA,-0.10083304426065,0.741084138134843,0.205539758421401,13,17,19,0,0.894736842105263,16,19,0,0.842105263157895,FALSE,FALSE,FALSE
"آجعملی طور پر","آج","عملی طور پر","unrelated","word","word",NA,-0.372240454319936,0.466857211320543,0.104392446029872,20,31,34,2,0.911764705882353,33,34,2,0.970588235294118,FALSE,FALSE,FALSE
"آجکل","آج","کل","related","word","word",0.325912918514414,-0.73723854476362,0.443945456356186,0.133854591465143,11,17,17,0,1,17,17,0,1,FALSE,FALSE,FALSE
"آجمشکدط درگم","آج","مشکدط درگم","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آخر میںبالاآخر","آخر میں","بالاآخر","related","word","word",NA,-0.574210121223134,0.344292537666874,0.0993886946509746,12,17,18,0,0.944444444444444,15,18,0,0.833333333333333,FALSE,FALSE,FALSE
"آخر میںڑوس","آخر میں","ڑوس","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آخر میںکشتی","آخر میں","کشتی","unrelated","word","word",NA,-0.42957509375368,0.581716968278373,0.101263926267554,33,51,53,0,0.962264150943396,50,52,1,0.961538461538462,FALSE,TRUE,FALSE
"آخرچپخ","آخر","چپخ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آخرختم","آخر","ختم","related","word","word",0.20173101388219,-0.6041646631809,1.04444848519247,0.239612915720426,19,30,36,0,0.833333333333333,29,36,0,0.805555555555556,FALSE,FALSE,FALSE
"آخرگمشد گی","آخر","گمشد گی","unrelated","word","word",NA,-0.466657539689866,0.553635770610974,0.159820880597626,12,21,21,0,1,21,21,0,1,FALSE,FALSE,FALSE
"آخظوغ","آخ","ظوغ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آخمنٹ","آخ","منٹ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدابج دیگواررسے","آدابج دیگو","اررسے","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدابج دیگوجولائی","آدابج دیگو","جولائی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدمیاستعمال","آدمی","استعمال","unrelated","word","word",0.130915705446226,-0.601453832922714,0.5697428683381,0.152270186562787,14,21,22,1,0.954545454545455,21,23,0,0.91304347826087,FALSE,FALSE,FALSE
"آدمیانسان","آدمی","انسان","related","word","word",0.480881461296614,-0.997657734221693,0.304489391373527,0.073849524853711,17,29,29,1,1,29,30,0,0.966666666666667,FALSE,FALSE,FALSE
"آدمیورٹ","آدمی","ورٹ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدھی راتایمالاار","آدھی رات","ایمالاار","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدھی راتبھیجنا","آدھی رات","بھیجنا","unrelated","word","word",NA,-0.148564465182223,0.753574558153272,0.266428840099918,8,17,19,0,0.894736842105263,15,19,0,0.789473684210526,FALSE,FALSE,FALSE
"آدھی راتدوپہر","آدھی رات","دوپہر","related","word","word",NA,-0.887299866353318,0.20931616846919,0.0697720561563965,9,15,18,0,0.833333333333333,15,18,0,0.833333333333333,FALSE,FALSE,FALSE
"آدھیئياتپوزیشن","آدھیئيات","پوزیشن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدھیئياتصطف","آدھیئيات","صطف","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدواانھوم","آدوا","انھوم","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدوامرمت کرنا","آدوا","مرمت کرنا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آڈاجیقاچینی","آڈاجی","قاچینی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آڈاجیگیلا","آڈاجی","گیلا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آڈاضامہ ضورکرسیاسمہان","آڈاضامہ ضورکر","سیاسمہان","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آڈاضامہ ضورکرمظاہرہ","آڈاضامہ ضورکر","مظاہرہ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آڈاکٹر","آ","ڈاکٹر","unrelated","word","word",0.0547164933099972,-0.458273760829027,0.634528683909943,0.145570863681121,19,36,37,0,0.972972972972973,25,36,1,0.694444444444444,FALSE,FALSE,FALSE
"آرام دہخوشگوار","آرام دہ","خوشگوار","related","word","word",NA,-0.818519101421977,0.32784809150449,0.0876210880941082,14,23,25,0,0.92,21,25,0,0.84,FALSE,FALSE,FALSE
"آرام دہشڑگاضی","آرام دہ","شڑگاضی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرام دہگھوڑا","آرام دہ","گھوڑا","unrelated","word","word",NA,-0.300940410794126,0.407854454516342,0.203927227258171,4,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"آرامبیٹ مین","آرام","بیٹ مین","unrelated","word","word",NA,0.386649012121467,NA,NA,1,2,8,0,0.25,6,8,0,0.75,FALSE,FALSE,FALSE
"آرامنیند","آرام","نیند","related","word","word",0.384652504247299,-0.736616802117494,0.384951140518,0.136100780942887,8,14,16,0,0.875,14,15,1,0.933333333333333,FALSE,FALSE,FALSE
"آرامویف","آرام","ویف","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرانڈاعتروٹ","آرانڈ","اعتروٹ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرانڈاکتوبر","آرانڈ","اکتوبر","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آراوٹراصھک","آراوٹرا","صھک","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آراوٹراکافی","آراوٹرا","کافی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرٹادب","آرٹ","ادب","related","word","word",0.301123082837223,-0.868088702068069,0.314577965441364,0.0741467375251519,18,25,25,0,1,23,25,0,0.92,FALSE,FALSE,FALSE
"آرٹرکھنا","آرٹ","رکھنا","unrelated","word","word",0.0962881777005295,-0.453730305852356,0.734395564560673,0.232236268753696,10,16,18,0,0.888888888888889,17,18,0,0.944444444444444,FALSE,FALSE,FALSE
"آرٹسٹپینٹر","آرٹسٹ","پینٹر","related","word","word",0.384433212898357,-0.0775665367017006,0.530396661446123,0.12864008580102,17,26,28,0,0.928571428571429,22,28,0,0.785714285714286,FALSE,FALSE,FALSE
"آرٹسٹضرب لگانا","آرٹسٹ","ضرب لگانا","unrelated","word","word",NA,-0.178493258896865,0.437852731174638,0.132017565703511,11,23,26,0,0.884615384615385,21,26,0,0.807692307692308,FALSE,FALSE,FALSE
"آرٹسٹموسییگر","آرٹسٹ","موسییگر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرٹلہند","آرٹ","لہند","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرٹیکلاخبار","آرٹیکل","اخبار","related","word","word",0.206868518869702,-0.702985280312813,0.46546756488427,0.164567635776028,8,13,13,0,1,10,12,1,0.833333333333333,FALSE,FALSE,FALSE
"آرٹیکلڈانار","آرٹیکل","ڈانار","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرٹیکلروح","آرٹیکل","روح","unrelated","word","word",0.0607307555627304,-0.576574855604824,0.779492343275201,0.294620412740739,7,14,16,0,0.875,14,16,0,0.875,FALSE,FALSE,FALSE
"آرخیصلٹین ایج","آرخیصل","ٹین ایج","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرخیصلضیصیت","آرخیصل","ضیصیت","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرزوچھٹی","آرزو","چھٹی","unrelated","word","word",0.0425847416958568,-0.616177723612097,0.422103601596231,0.112811932778316,14,21,22,0,0.954545454545455,20,21,1,0.952380952380952,FALSE,FALSE,FALSE
"آرزوخواہش","آرزو","خواہش","related","word","word",0.353509407927144,-1.0250738181024,0.200192196710945,0.0667307322369818,9,18,19,0,0.947368421052632,19,19,0,1,FALSE,FALSE,FALSE
"آرزوڈصد گی گوطری","آرزو","ڈصد گی گوطری","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرففٹٹاف","آرففٹ","ٹاف","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرففٹقاتل","آرففٹ","قاتل","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرکسٹرابینڈ","آرکسٹرا","بینڈ","related","word","word",0.429078636885799,-0.04769597080485,0.663966222871984,0.156498339557199,18,35,47,0,0.74468085106383,29,45,2,0.644444444444444,FALSE,FALSE,FALSE
"آرکسٹراخولاوار","آرکسٹرا","خولاوار","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آرکسٹراکرنا","آرکسٹرا","کرنا","unrelated","word","word",0.0661255665860777,-0.492776730045377,0.449402314872847,0.142113490075036,10,13,14,0,0.928571428571429,5,14,0,0.357142857142857,FALSE,FALSE,FALSE
"آریشنخیچما","آریشن","خیچما","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آریشنروم","آریشن","روم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزادیبہرا","آزادی","بہرا","unrelated","word","word",0.148151532625339,-0.209761821184138,0.799825077358547,0.178846324308274,20,33,39,2,0.846153846153846,37,41,0,0.902439024390244,FALSE,FALSE,FALSE
"آزادیجمہوریت","آزادی","جمہوریت","related","word","word",0.370372603026418,-0.335397666187082,0.840227100054691,0.233037068637046,13,24,25,0,0.96,24,25,0,0.96,FALSE,FALSE,FALSE
"آزادیشلیش","آزادی","شلیش","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزاقزتعریف","آزاقز","تعریف","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزاقزصیٹ","آزاقز","صیٹ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزطیڈینج","آزطی","ڈینج","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزطیناک","آزطی","ناک","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آڑققاارادہ","آڑققا","ارادہ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آڑققاذڈگ","آڑققا","ذڈگ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسمانآسمانی","آسمان","آسمانی","related","word","word",0.686951353554599,-0.62194354292779,0.56518377359904,0.170409319511381,11,16,16,0,1,16,16,0,1,FALSE,FALSE,FALSE
"آسمانایمرجنسی","آسمان","ایمرجنسی","unrelated","word","word",0.129330214343439,-0.576475689941017,0.346981584215385,0.0817843437151834,18,33,35,0,0.942857142857143,34,35,0,0.971428571428571,FALSE,FALSE,FALSE
"آسمانسیگوظ","آسمان","سیگوظ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسمانی بجلیصرس","آسمانی بجلی","صرس","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسمانی بجلیگرج چمک","آسمانی بجلی","گرج چمک","related","word","word",NA,0.0248474656972128,1.45411062950487,0.375449750107702,15,30,34,3,0.88235294117647,29,33,4,0.878787878787879,FALSE,FALSE,FALSE
"آسمانی بجلیمہیا کرنا","آسمانی بجلی","مہیا کرنا","unrelated","word","word",NA,0.166915071882042,1.62169887843983,0.353883707851215,21,34,35,1,0.971428571428571,34,35,1,0.971428571428571,FALSE,FALSE,FALSE
"آشصبیتو","آشص","بیتو","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آشصسٹور","آشص","سٹور","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آصڑارحفاظت","آصڑار","حفاظت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آصڑارخوردخان","آصڑار","خوردخان","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آضفاڑ","آ","ضفاڑ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آطانبےاطگک","آطانبے","اطگک","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آطانبےحملہ آور","آطانبے","حملہ آور","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آظلڈوھہر","آظل","ڈوھہر","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آظلشادی شدہ","آظل","شادی شدہ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آفحدوپہر کا کھانا","آفح","دوپہر کا کھانا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آفحہکبہ واز","آفح","ہکبہ واز","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگاگومیٹہطار","آگاگومی","ٹہطار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگاگومیکیڑا","آگاگومی","کیڑا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگبند","آگ","بند","unrelated","word","word",0.145591291515407,-0.578733558090476,0.738672204856856,0.1741067083761,18,23,23,0,1,22,22,1,1,FALSE,FALSE,FALSE
"آگدوپدوا کی گولی","آگدوپ","دوا کی گولی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگدوپگیاٹ","آگدوپ","گیاٹ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگشادی ججلیچچرہ","آگشادی ججلی","چچرہ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگشادی ججلیدینا","آگشادی ججلی","دینا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگشعلہ","آگ","شعلہ","related","word","word",0.393901877521146,-0.530243785686374,0.548594546096247,0.182864848698749,9,18,19,0,0.947368421052632,18,19,0,0.947368421052632,FALSE,FALSE,FALSE
"آگضالجاجی","آگ","ضالجاجی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگے بڑھناجاری رکھنا","آگے بڑھنا","جاری رکھنا","related","word","word",NA,-0.488003162559354,0.582056408594743,0.23762353376234,6,14,17,2,0.823529411764706,12,17,2,0.705882352941177,FALSE,FALSE,FALSE
"آگے بڑھنامگچاڑگاڑغالا","آگے بڑھنا","مگچاڑگاڑغالا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آگے بڑھنامیئونیز","آگے بڑھنا","میئونیز","unrelated","word","word",NA,1.03678947348893,1.00248302435166,0.31701296726053,10,15,26,0,0.576923076923077,25,26,0,0.961538461538462,FALSE,FALSE,FALSE
"آلوٹماٹر","آلو","ٹماٹر","related","word","word",0.496534731920096,-0.899217961947785,0.382125853140688,0.135101891011238,8,15,17,0,0.88235294117647,15,17,0,0.88235294117647,FALSE,FALSE,FALSE
"آلوداءشوخ","آلوداء","شوخ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلوداءوزربی","آلوداء","وزربی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلودگیتابکاری","آلودگی","تابکاری","related","word","word",0.297819663004488,1.01137636717245,1.43853460826799,0.47951153608933,9,16,24,0,0.666666666666667,16,24,0,0.666666666666667,FALSE,FALSE,FALSE
"آلودگیسرمایہ کار","آلودگی","سرمایہ کار","unrelated","word","word",NA,-0.663523847836027,0.553008770458051,0.18433625681935,9,13,16,1,0.8125,15,17,0,0.88235294117647,FALSE,FALSE,FALSE
"آلودگیشاخپ","آلودگی","شاخپ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلوقابلودکر","آلو","قابلودکر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلومجرم","آلو","مجرم","unrelated","word","word",0.144473474531052,-0.67567568153424,0.625968027623834,0.139970706150836,20,35,36,0,0.972222222222222,35,36,0,0.972222222222222,FALSE,FALSE,FALSE
"آمدروانگی","آمد","روانگی","related","word","word",0.289788514071979,-0.762437540260784,0.280265691502467,0.0845032854839255,11,16,17,1,0.941176470588235,15,17,1,0.88235294117647,FALSE,FALSE,FALSE
"آمدعگدمداگی","آمد","عگدمداگی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آمدگوریلا","آمد","گوریلا","unrelated","word","word",0.0957374406922208,0.0321240613113613,0.922905417036696,0.26641984548135,12,16,17,0,0.941176470588235,16,17,0,0.941176470588235,FALSE,FALSE,FALSE
"آموگھاکرمگف","آموگھا","کرمگف","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آموگھاکرنل","آموگھا","کرنل","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آنکھایندھن","آنکھ","ایندھن","unrelated","word","word",0.116035559473426,0.175960623814968,0.876207418544793,0.309786103689491,8,15,16,0,0.9375,13,16,0,0.8125,FALSE,FALSE,FALSE
"آنکھساض ہی گیں","آنکھ","ساض ہی گیں","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آنکھکان","آنکھ","کان","related","word","word",0.306216324646944,-0.899448465321252,0.228694998941799,0.0689541366291519,11,18,18,0,1,18,18,0,1,FALSE,FALSE,FALSE
"آنمامی غنر کا ممومہڑائنامائیٹ","آنمامی غنر کا ممومہ","ڑائنامائیٹ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آنمامی غنر کا ممومہسگوںٹ","آنمامی غنر کا ممومہ","سگوںٹ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آہستہ آہستہآطتراگیپ گسنڈ","آہستہ آہستہ","آطتراگیپ گسنڈ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آہستہ آہستہجلدی جلدی","آہستہ آہستہ","جلدی جلدی","related","word","word",NA,-0.880706832455604,0.281387030300316,0.0780427204614098,13,22,24,0,0.916666666666667,23,24,0,0.958333333333333,FALSE,FALSE,FALSE
"آہستہ آہستہریاست","آہستہ آہستہ","ریاست","unrelated","word","word",NA,-0.760146677173277,0.474575595045214,0.106118329098351,20,28,30,0,0.933333333333333,28,30,0,0.933333333333333,FALSE,FALSE,FALSE
"آوازتلفظ","آواز","تلفظ","related","word","word",0.337685267000844,-0.71918700524905,0.320394645251083,0.121097793247304,7,12,13,0,0.923076923076923,10,13,0,0.769230769230769,FALSE,FALSE,FALSE
"آوازچچاقی","آواز","چچاقی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آوازننگا","آواز","ننگا","unrelated","word","word",0.129178326462049,-0.367925047536975,0.998036063672118,0.266736357850398,14,18,19,0,0.947368421052632,18,19,0,0.947368421052632,FALSE,FALSE,FALSE
"آواقیساخت","آواقی","ساخت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آواقیہوہادا","آواقی","ہوہادا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آیااہمیت","آیا","اہمیت","unrelated","word","word",0.136415013839234,-1.00337636685485,0.220804113631259,0.0987466015582167,5,7,8,1,0.875,7,7,2,1,FALSE,FALSE,FALSE
"آیافٹزپال","آیا","فٹزپال","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آیانوکرانی","آیا","نوکرانی","related","word","word",0.273889404023798,-0.489288259711473,0.433009053585436,0.136929485680388,10,13,14,0,0.928571428571429,12,14,0,0.857142857142857,FALSE,FALSE,FALSE
"ئرڈگموپہ","ئرڈ","گموپہ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ئرڈوہ","ئرڈ","وہ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ئۃخیپ","ئۃ","خیپ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ئۃظلم","ئۃ","ظلم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
