"word_combo","nl_cue","nl_target","type","cue_type","target_type","nl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"hofdzamelonofn","hofdzamelon","ofn","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hogieverpandgen","hogie","verpandgen","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hogiewang","hogie","wang","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoitpaard","hoit","paard","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoitprads","hoit","prads","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"holsactivenaard","hols","activenaard","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"holsgetrouwd","hols","getrouwd","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hondbereidven","hond","bereidven","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hondkat","hond","kat","related","word","word",0.713629687050368,-0.913339295762005,0.511093376358712,0.228567906477593,5,5,5,0,1,4,5,0,0.8,FALSE,FALSE,FALSE
"hondsluiting","hond","sluiting","unrelated","word","word",0.0886376976112441,-0.2178850666751,0.60350501202107,0.174216890573827,12,12,12,0,1,11,12,0,0.916666666666667,FALSE,FALSE,FALSE
"hongerdorst","honger","dorst","related","word","word",0.720207196677295,-0.967168529347253,0.138524676852299,0.0799772594700809,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"hongeruitdabeer","honger","uitdabeer","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hongerwetenschapper","honger","wetenschapper","unrelated","word","word",0.0417919724616803,0.474670700044489,1.88684263210572,0.667099610096914,8,8,9,0,0.888888888888889,9,9,0,1,FALSE,FALSE,FALSE
"honingberekenen","honing","berekenen","unrelated","word","word",0.112296882573957,0.480016960484322,1.43850137472975,1.01717407681758,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"honingboter","honing","boter","related","word","word",0.499453905129214,0.0409067070003879,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"honingscotrel","honing","scotrel","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoofdnenkomenboos","hoofdnenkomen","boos","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoofdnenkomenwires","hoofdnenkomen","wires","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoofdstadprodecupoerd","hoofdstad","prodecupoerd","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoofdstadromantisch","hoofdstad","romantisch","unrelated","word","word",0.0695069441051728,-0.449288839626686,0.4618269147781,0.115456728694525,16,16,16,0,1,16,16,0,1,FALSE,FALSE,FALSE
"hoofdstadstad","hoofdstad","stad","related","word","word",0.514434548341112,-0.925558845118686,0.186484639557891,0.062161546519297,9,9,9,0,1,9,9,0,1,FALSE,FALSE,FALSE
"hoopanvaltof","hoop","anvaltof","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoopblauw","hoop","blauw","unrelated","word","word",0.109683929258936,-1.03447871713439,0.203706975134804,0.0911005287784563,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"hoopvertrouwen","hoop","vertrouwen","related","word","word",0.273747664592934,-0.382966289638595,0.379463164686387,0.154915188277225,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
