"word_combo","fa_cue","fa_target","type","cue_type","target_type","fa_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"آبانآذر","آبان","آذر","related","word","word",NA,-1.03832348586325,0.205536803723613,0.145336467696375,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آبانتصزوف","آبان","تصزوف","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبانچشم انداز","آبان","چشم انداز","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبجودور","آبجو","دور","unrelated","word","word",0.132638147671616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبجوصناله","آبجو","صناله","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبجومشروب","آبجو","مشروب","related","word","word",0.665549577530072,-0.469666778169857,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"آتششعله","آتش","شعله","related","word","word",0.552645308962847,0.253756751161369,1.16818249614631,0.826029764688485,2,2,2,0,1,1,2,0,0.5,FALSE,FALSE,FALSE
"آتشفسی","آتش","فسی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آتشفهمیدن","آتش","فهمیدن","unrelated","word","word",0.0705858016511802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم ربابرف","آدم ربا","برف","unrelated","word","word",NA,-0.529091823524474,0.0982694613320445,0.0567358999531754,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آدم ربابینظنه","آدم ربا","بینظنه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم ربافدیه","آدم ربا","فدیه","related","word","word",NA,NA,NA,NA,NA,0,2,0,0,2,2,0,1,FALSE,FALSE,NA
"آدم رباییاشتباه","آدم ربایی","اشتباه","unrelated","word","word",NA,-0.39218326377178,0.861620812110848,0.351755223572339,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"آدم رباییخجال","آدم ربایی","خجال","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم رباییربودن","آدم ربایی","ربودن","related","word","word",NA,-0.177438476711977,0.742880807034004,0.525296056267079,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آدم ربيکیاجاریـدادن","آدم ربيکی","اجاریـدادن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم ربيکیحمام","آدم ربيکی","حمام","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم سادهاحمق","آدم ساده","احمق","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم سادهبدبین","آدم ساده","بدبین","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم سادهجرعه","آدم ساده","جرعه","unrelated","word","word",NA,0.198300774704447,1.45403596967482,0.839488058503156,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آدم سادهعرزیکی","آدم ساده","عرزیکی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم سادهمنابوقمالی","آدم ساده","منابوقمالی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم سادههفته","آدم ساده","هفته","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم فیاراهبيا","آدم فیا","راهبيا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم فیاورق بازی","آدم فیا","ورق بازی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدهحسادهامپراتوری","آدهحساده","امپراتوری","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدهحسادهپایانی","آدهحساده","پایانی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدهحسادهپلبار","آدهحساده","پلبار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدهحسادهشمتایی","آدهحساده","شمتایی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزادایستگاه","آزاد","ایستگاه","unrelated","word","word",0.030327536607015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزادبذاج","آزاد","بذاج","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزادرایگان","آزاد","رایگان","related","word","word",0.120461772882727,-0.32371501073428,1.09112464097441,0.545562320487207,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"آزادیدموکراسی","آزادی","دموکراسی","related","word","word",0.473319786055127,2.08687902561477,3.52631558342017,2.03591925133521,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آزادیکر","آزادی","کر","unrelated","word","word",0.0770440003660591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزادیمقدیو","آزادی","مقدیو","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آززیانهزیست","آززیانه","زیست","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آززیانههندر","آززیانه","هندر","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزموحریم شخصی","آزمو","حریم شخصی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آزموخجال","آزمو","خجال","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسپرینمدار","آسپرین","مدار","unrelated","word","word",0.122526859017641,0.309133306378507,0.919116271421972,0.649913348221372,2,2,3,0,0.666666666666667,3,3,0,1,FALSE,FALSE,FALSE
"آسپرینمورفین","آسپرین","مورفین","related","word","word",0.538243913225695,-0.728417656615623,0.295316653112647,0.132069622249521,5,5,7,0,0.714285714285714,5,7,0,0.714285714285714,FALSE,FALSE,FALSE
"آسپرینواتما","آسپرین","واتما","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسلينتوهيد","آسلين","توهيد","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسلينعمل جراحي","آسلين","عمل جراحي","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسمانبامزه","آسمان","بامزه","unrelated","word","word",0.0475470342000552,-0.689851670668097,0.236442061139394,0.118221030569697,4,4,5,0,0.8,5,5,0,1,FALSE,FALSE,FALSE
"آسمانبهشتی","آسمان","بهشتی","related","word","word",0.336691644661147,-0.477928032984468,0.198062064525267,0.114351186269916,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آسمانمایش","آسمان","مایش","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسنبینتادمر ذارگ","آسنبین","تادمر ذارگ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آسنبیننمایشگاه","آسنبین","نمایشگاه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آشمهکشهمن","آشمه","کشهمن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آشمهمطالعه","آشمه","مطالعه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آشوببرادر","آشوب","برادر","unrelated","word","word",0.0971350464870554,-0.399984996832756,0.0148048749913424,0.0104686275009973,2,2,2,0,1,1,2,0,0.5,FALSE,FALSE,FALSE
"آشوبگیجی","آشوب","گیجی","related","word","word",0.202752911343266,-0.735713254609418,0.245243771620805,0.141591557562351,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آشوبمزارش","آشوب","مزارش","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آفریناحسنت","آفرین","احسنت","related","word","word",0.35883183784305,-0.47354648007148,0.402303966400422,0.232270303297338,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آفرینانسان","آفرین","انسان","unrelated","word","word",0.0566645860418045,-0.599729731587979,0.285733704929943,0.127783997537244,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"آفرینونهام","آفرین","ونهام","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلاشاردک","آلاش","اردک","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلاشقضاولککردن","آلاش","قضاولککردن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلبومئاب","آلبوم","ئاب","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلبومترانه","آلبوم","ترانه","related","word","word",0.398544938286038,-0.565786858443838,0.514394994126831,0.257197497063416,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"آلبوممتر","آلبوم","متر","unrelated","word","word",0.0722133585032474,-0.0189826892007835,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"آلودگیتابش - تشعشع","آلودگی","تابش - تشعشع","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلودگیخنله","آلودگی","خنله","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلودگیسرمایه گذار","آلودگی","سرمایه گذار","unrelated","word","word",NA,0.0162203547251163,0.179904040535048,0.127211367025192,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آلودیتاستفاده کردن","آلودیت","استفاده کردن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلودیتگته","آلودیت","گته","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلیدخروج","آلید","خروج","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آلیديته","آلید","يته","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آمادکيسازیارزیابی","آمادکيسازی","ارزیابی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آمادکيسازیمعاق","آمادکيسازی","معاق","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آماده سازیبرنامه ریزی","آماده سازی","برنامه ریزی","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آماده سازیذجداب","آماده سازی","ذجداب","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آماده سازیزندان","آماده سازی","زندان","unrelated","word","word",NA,0.496006137312156,0.630020577914707,0.445491822930557,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آمادهآماده کردن","آماده","آماده کردن","related","word","word",NA,-0.530370706617607,0.457160104102039,0.3232610096985,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آمادهمتفاوت","آماده","متفاوت","unrelated","word","word",0.146271612469746,-0.809323828920025,0.174794751390627,0.0873973756953135,4,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"آمادههلج","آماده","هلج","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آمپولخارقينلعاده","آمپول","خارقينلعاده","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آمپولخلاقیت","آمپول","خلاقیت","unrelated","word","word",0.131166058986422,1.23710707924571,2.29561610871522,1.6232457174736,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آمپولسرنگ","آمپول","سرنگ","related","word","word",0.458010798816536,-0.607837332061815,0.228801040951506,0.0864786648671987,7,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"آمسونافتخار","آمسون","افتخار","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آمسونگهام","آمسون","گهام","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آموارجادوسم","آموار","جادوسم","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آموارخودکار","آموار","خودکار","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آناتومیتحقیق کردن","آناتومی","تحقیق کردن","unrelated","word","word",NA,-0.308348887013861,0.376006537388343,0.217087475578219,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آناتومیجانمه","آناتومی","جانمه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آناتومیروانشناسی","آناتومی","روانشناسی","related","word","word",0.488895177800679,-0.872704676840912,0.290919195336252,0.145459597668126,4,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"آنژيلانزاخوتیار","آنژيلانزا","خوتیار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آنژيلانزامردم","آنژيلانزا","مردم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آنفلومیایستگاه","آنفلومی","ایستگاه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آنفلومیگزبيه","آنفلومی","گزبيه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آنفولانزاانتخابات","آنفولانزا","انتخابات","unrelated","word","word",0.13071964152096,-0.278972890188244,0.266759416960279,0.154013621190884,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آنفولانزابیماری","آنفولانزا","بیماری","related","word","word",0.44389591815134,-0.541146201318198,0.102012770297515,0.0721339216449987,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آنفولانزاشارد","آنفولانزا","شارد","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آهسته. تدرتریباارکن","آهسته. تدرتری","باارکن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آهسته. تدرتریشکلات","آهسته. تدرتری","شکلات","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آهسته. تدریجیآهسته","آهسته. تدریجی","آهسته","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آهسته. تدریجیدولت","آهسته. تدریجی","دولت","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آهسته. تدریجیکنمانی","آهسته. تدریجی","کنمانی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آهنخود خواه","آهن","خود خواه","unrelated","word","word",NA,-0.370378050647226,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"آهنفلز","آهن","فلز","related","word","word",0.460978129511529,-0.0714397332779618,0.471210738599949,0.333196308631945,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آهنهرنه","آهن","هرنه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آواهعمل جرپزي","آواه","عمل جرپزي","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آواهمراسم","آواه","مراسم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آوردنارسال","آوردن","ارسال","related","word","word",0.114331341821778,0.416615397912814,0.474780366262779,0.335720416558644,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آوردندوردی","آوردن","دوردی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آوردنمجاز","آوردن","مجاز","unrelated","word","word",0.149898767273155,-0.821548992698117,0.540446267804267,0.241694918599279,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"آیاسگزارخجال","آیاسگزار","خجال","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آیاسگزارقابل توجه","آیاسگزار","قابل توجه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آیندهزیبانا","آینده","زیبانا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آیندهگذشته","آینده","گذشته","related","word","word",0.415083731920666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آیندهمتضاد","آینده","متضاد","unrelated","word","word",0.138423210226958,0.672331543630181,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"ؤولعجیب و غریب","ؤول","عجیب و غریب","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ؤولقمتام","ؤول","قمتام","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ئيدغیبت","ئيد","غیبت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ئيدهرنه","ئيد","هرنه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ئيمضرت","ئيم","ضرت","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ئيمموقعیت","ئيم","موقعیت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابازاتسلاح","ابازات","سلاح","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابازاتقدبل","ابازات","قدبل","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابتهشمخصی مریح","ابتهشم","خصی مریح","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابتهشمنظامی","ابتهشم","نظامی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابدیتا ابد","ابدی","تا ابد","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابدیفساهددن","ابدی","فساهددن","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابدیمنتقل کردن","ابدی","منتقل کردن","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابرپول","ابر","پول","unrelated","word","word",0.107726689754584,-0.530621746934872,0.457196237087418,0.323286559577486,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ابرستانامپراتور","ابرستان","امپراتور","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابرستانکارآفرعو","ابرستان","کارآفرعو","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابرمه","ابر","مه","related","word","word",0.274700874366921,1.18993289579781,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"ابروافهی","ابر","وافهی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابریشمپنبه","ابریشم","پنبه","related","word","word",0.303915864430498,-0.733181530724671,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"ابریشمدفاع","ابریشم","دفاع","unrelated","word","word",0.0231176647333101,-0.329283762147893,0.60033701307249,0.346604736101898,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"ابریشمعلوميوایه","ابریشم","علوميوایه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابزارتع","ابزار","تع","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابزارمست","ابزار","مست","unrelated","word","word",0.0797455700779138,-0.621276124870489,0.290274093534313,0.16758982604081,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"ابزاروسیله","ابزار","وسیله","related","word","word",0.298705877670972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابغدندان","ابغ","دندان","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابغگنميکار","ابغ","گنميکار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابندچالش","ابند","چالش","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابندوزارهدانه","ابند","وزارهدانه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابیتخشمگین","ابیت","خشمگین","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ابیتمتمام دارت","ابیت","متمام دارت","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتاقاتاق خواب","اتاق","اتاق خواب","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتاقبهگرور","اتاق","بهگرور","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتاقدوستی","اتاق","دوستی","unrelated","word","word",0.047508535704159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتخاگروه","اتخا","گروه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتخاماگرگیری","اتخا","ماگرگیری","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتزتروژی","اتزت","روژی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتزتعروسی","اتزت","عروسی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتمیبهاید","اتمی","بهاید","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتمیدره","اتمی","دره","unrelated","word","word",0.0558158256455773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اتمیهسته ای","اتمی","هسته ای","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اجازهبدبین","اجازه","بدبین","unrelated","word","word",0.105143845501427,-0.463869099240448,0.450864366216789,0.225432183108395,4,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"اجازهبرواه","اجازه","برواه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اجازهتاییدیه","اجازه","تاییدیه","related","word","word",0.245694678259355,0.221995934216257,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"اجازهجهنم","اجازه","جهنم","unrelated","word","word",0.114499883991475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اجازهرخصت","اجازه","رخصت","related","word","word",0.36883375683879,-0.581261326713156,0.487103227718303,0.344433995457467,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"اجازههمئو","اجازه","همئو","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اجداراسزنداد","اجدار","اسزنداد","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اجداربزرگراه","اجدار","بزرگراه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اجرامگندر رفتن","اجرامگن","در رفتن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اجرامگنمنفجايکردن","اجرامگن","منفجايکردن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اچنسس","اچن","سس","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"اچنمیپا","اچن","میپا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
