"word_combo","fa_cue","fa_target","type","cue_type","target_type","fa_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"مردادتعدان","مرداد","تعدان","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مردادشهریور","مرداد","شهریور","related","word","word",NA,-0.354503441690451,0.658603479789362,0.465702986672115,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مردانسان","مرد","انسان","related","word","word",0.287837645912546,-0.856162667332773,0.285772175714642,0.127801202195191,5,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"مرداولیه","مرد","اولیه","unrelated","word","word",0.109344591562657,-0.445428734856139,0.313631609498843,0.221771037871083,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مردگرکش","مرد","گرکش","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مرسایهدستمال کاغذی","مرسایه","دستمال کاغذی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مرسایهکسرک","مرسایه","کسرک","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مرگبارستکتن","مرگبار","ستکتن","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مرگبارکشنده","مرگبار","کشنده","related","word","word",0.472759557290826,-0.677734644642906,NA,NA,1,1,1,0,1,0,1,0,0,FALSE,FALSE,FALSE
"مرگبارمذهب","مرگبار","مذهب","unrelated","word","word",0.059848580193959,-0.454411881517452,0.364678510839413,0.182339255419707,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"مرگجرانس","مرگ","جرانس","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مرگساختگی","مرگ","ساختگی","unrelated","word","word",0.126836822135294,-0.500046285035759,0.118696347319278,0.0839309920915351,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مرگناپدید شدن","مرگ","ناپدید شدن","related","word","word",NA,-0.577977348597259,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"مريزارشور","مريزار","شور","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مريزارضرلی","مريزار","ضرلی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مریختونل","مریخ","تونل","unrelated","word","word",0.142709129654972,-1.00736677811726,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"مریخزهره","مریخ","زهره","related","word","word",0.183305541732763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مریخشگفتحشنگیز","مریخ","شگفتحشنگیز","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مریضبیمار","مریض","بیمار","related","word","word",0.538962465171415,1.38198349882162,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"مریضدهه","مریض","دهه","unrelated","word","word",0.0239749047721889,1.48938287110481,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"مریضعهقل","مریض","عهقل","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مزايرخطر","مزاير","خطر","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مزايریصته","مزاير","یصته","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مزدورشن","مزدور","شن","unrelated","word","word",0.128422887904339,-0.0460376653948223,0.345241537893035,0.244122632591438,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
