"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"finalmentebarco","finalmente","barco","unrelated","word","word",0.113018628988193,-0.475032058182914,0.861569386626691,0.168967658258602,26,29,29,0,1,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"finalmenteeventualmente","finalmente","eventualmente","related","word","word",0.413616184463777,-0.468160991691263,0.447414685683205,0.0554949617900304,65,66,66,0,1,65,66,0,0.984848484848485,TRUE,TRUE,TRUE
"finalmentevasubigno","finalmente","vasubigno","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finamaramenteabrigo","finamaramente","abrigo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finamaramentesobia","finamaramente","sobia","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finançaabplendo","finança","abplendo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finançainvestir","finança","investir","related","word","word",0.287668326236241,-0.419059413925068,0.682702399480668,0.124643834752822,30,35,35,0,1,34,34,1,1,FALSE,FALSE,FALSE
"finançasuspeito","finança","suspeito","unrelated","word","word",0.113878220378035,-0.78673011238573,0.273739344899095,0.0597348223184632,21,21,22,0,0.954545454545455,21,22,0,0.954545454545455,FALSE,FALSE,FALSE
"financeiramenteapresonese","financeiramente","apresonese","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"financeiramenteestátua","financeiramente","estátua","unrelated","word","word",0.0687897031783708,-0.3535104204161,0.420678904116151,0.072145836855221,34,36,37,0,0.972972972972973,37,37,0,1,FALSE,FALSE,FALSE
"financeiramentefinanciamento","financeiramente","financiamento","related","word","word",0.453183292609152,0.069769798572975,0.994589697713918,0.181586404300052,30,31,31,0,1,30,31,0,0.967741935483871,FALSE,FALSE,FALSE
"finogrosso","fino","grosso","related","word","word",0.511165026809014,-0.453111200872966,0.446054403771839,0.0910504738968655,24,26,26,0,1,22,26,0,0.846153846153846,FALSE,FALSE,FALSE
"finopadre","fino","padre","unrelated","word","word",0.132764327699994,-0.60805794735378,0.399571761855556,0.0916680489800457,19,22,22,0,1,22,22,0,1,FALSE,FALSE,FALSE
"finoproiast","fino","proiast","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fiqueismenteaconselhar","fiqueismente","aconselhar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fiqueismentesolicitaquehaia","fiqueismente","solicitaquehaia","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"firmementefortemente","firmemente","fortemente","related","word","word",0.516897775017129,-0.423646150257982,0.403877851297511,0.0777263287221152,27,27,27,0,1,22,27,0,0.814814814814815,FALSE,FALSE,FALSE
"firmementeintembergue","firmemente","intembergue","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"firmementeprato","firmemente","prato","unrelated","word","word",0.0596268210238759,-0.617950538284778,0.527837700984663,0.0933094044330431,32,35,36,0,0.972222222222222,33,36,0,0.916666666666667,FALSE,FALSE,FALSE
"físicaandar","física","andar","unrelated","word","word",0.0569257450887619,-0.603547905971031,0.519033629683359,0.0917530498032426,32,34,34,3,1,33,34,3,0.970588235294118,FALSE,FALSE,FALSE
"físicamatemática","física","matemática","related","word","word",0.559118615428527,-0.343304741251906,0.69366034022794,0.133494994718923,27,28,28,0,1,28,28,0,1,FALSE,FALSE,FALSE
"físicaquiparem","física","quiparem","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fizésgenheimente","fizés","genheimente","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
