"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abaixoacima","abaixo","acima","related","word","word",0.729618291672759,-0.762616101827686,0.535864098068199,0.0645104565839764,69,71,71,0,1,71,71,0,1,TRUE,TRUE,TRUE
"abaixojogo","abaixo","jogo","unrelated","word","word",0.0874637433829765,-0.7118575638833,0.328041461282838,0.0494541110343214,44,47,47,0,1,47,47,0,1,FALSE,FALSE,FALSE
"abaixoperprestar","abaixo","perprestar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaraquentaruda","abandoar","aquentaruda","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoarhiv","abandoar","hiv","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaformiga","abelha","formiga","related","word","word",0.551243073872046,-0.58354374637756,0.54566140497634,0.084197382732871,42,44,45,1,0.977777777777778,44,45,1,0.977777777777778,FALSE,FALSE,FALSE
"abelhaincluístúnio","abelha","incluístúnio","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelharemover","abelha","remover","unrelated","word","word",0.0743276275912317,-0.514013690559551,0.523390835565563,0.0872318059275938,36,37,39,0,0.948717948717949,38,39,0,0.974358974358974,FALSE,FALSE,FALSE
"aberturafecho","abertura","fecho","related","word","word",0.385173719994541,-0.456864253136529,0.93829779697661,0.184015337551725,26,29,30,0,0.966666666666667,29,30,0,0.966666666666667,FALSE,FALSE,FALSE
"aberturasalvador","abertura","salvador","unrelated","word","word",0.0718236685083176,-0.452126117744441,0.749022056808196,0.128456222983137,34,35,36,0,0.972222222222222,34,36,0,0.944444444444444,FALSE,FALSE,FALSE
"aberturasimpard","abertura","simpard","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurexplosão","abeur","explosão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurtranhasra","abeur","tranhasra","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipa","abrir","equipa","unrelated","word","word",0.0895483830117641,-0.541144803553975,0.974227587852918,0.164674518189559,35,38,38,1,1,38,38,1,1,FALSE,FALSE,FALSE
"abrirfechar","abrir","fechar","related","word","word",0.737872121803846,-0.534089481118671,0.648478044732693,0.138255983677896,22,22,24,3,0.916666666666667,23,25,2,0.92,FALSE,FALSE,FALSE
"abrirmastições","abrir","mastições","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarralizmio","absolucarra","lizmio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarramissão","absolucarra","missão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamenteassaltar","absolutamente","assaltar","unrelated","word","word",0.0712911384262012,-0.300483103881396,0.517833159153982,0.0978612685531691,28,33,33,0,1,31,33,0,0.93939393939394,FALSE,FALSE,FALSE
"absolutamentecompletamente","absolutamente","completamente","related","word","word",0.642043621411263,-0.494325374938403,0.697619404958323,0.148732956880689,22,22,22,0,1,22,22,0,1,FALSE,FALSE,FALSE
"absolutamentenutriear","absolutamente","nutriear","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absteperfume","abste","perfume","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstepisxo","abste","pisxo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoquartel-general","acalmano","quartel-general","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoquerruto","acalmano","querruto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acampamentocaçõesdo","acampamento","caçõesdo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acampamentocerveja","acampamento","cerveja","unrelated","word","word",0.0838297025417324,-0.558598343152197,0.687763908870146,0.0840237345949863,67,69,69,1,1,68,69,1,0.985507246376812,TRUE,TRUE,TRUE
"acampamentovila","acampamento","vila","related","word","word",0.39028471987528,-0.0790208467671651,0.615965330364066,0.108888315519061,32,34,35,0,0.971428571428571,34,35,0,0.971428571428571,FALSE,FALSE,FALSE
"aceiceflor","aceice","flor","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aceicezó","aceice","zó","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acezerconfusão","acezer","confusão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acezerladicional","acezer","ladicional","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achavadodioro","achavado","dioro","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achavadoempoeirado","achavado","empoeirado","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheronarbeleques","acheronar","beleques","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheronarpatético","acheronar","patético","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acicocarnor","acico","carnor","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acicoprémio","acico","prémio","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acidentalmentechona","acidentalmente","chona","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acidentalmenteintencionalmente","acidentalmente","intencionalmente","related","word","word",0.546110296824863,0.101913118314066,0.701884196561955,0.12606212311133,31,31,32,2,0.96875,27,32,2,0.84375,FALSE,FALSE,FALSE
"acidentalmenteretorno","acidentalmente","retorno","unrelated","word","word",0.140030712072069,-0.357155672524681,0.465441028962956,0.106779495233006,19,21,21,0,1,21,21,0,1,FALSE,FALSE,FALSE
"acionarativar","acionar","ativar","related","word","word",0.659268688860261,-0.456842219781111,0.530415116091472,0.0937650313580323,32,34,34,1,1,26,34,1,0.764705882352941,FALSE,FALSE,FALSE
"acionargolpe","acionar","golpe","unrelated","word","word",0.14378981957354,-0.163303148508786,1.4184496126144,0.211449983764269,45,47,47,1,1,31,47,1,0.659574468085106,FALSE,FALSE,FALSE
"acionarvagensro","acionar","vagensro","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acorminardesafiração","acorminar","desafiração","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acorminarpequeno-almoço","acorminar","pequeno-almoço","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscesadivisão","acoscesa","divisão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscesasuperfitlande","acoscesa","superfitlande","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscídioacomparisa","acoscídio","acomparisa","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscídiorico","acoscídio","rico","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrescientebanus","acresciente","banus","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrescienteinferior","acresciente","inferior","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrestidadeamérica","acrestidade","américa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrestidadebaquátituição","acrestidade","baquátituição","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açúcarcavações","açúcar","cavações","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açúcarchocolate","açúcar","chocolate","related","word","word",0.573932417318047,-0.577988338293275,0.601140173337405,0.113604814410074,28,31,32,0,0.96875,29,32,0,0.90625,FALSE,FALSE,FALSE
"açúcarsempre","açúcar","sempre","unrelated","word","word",0.107724430742608,-0.593113229355024,0.451825427728098,0.0903650855456195,25,29,29,1,1,27,29,1,0.931034482758621,FALSE,FALSE,FALSE
"adapcenteourad","adapcente","ourad","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adapcentepromessa","adapcente","promessa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilheiamedrontar","admilhei","amedrontar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilheiceredial","admilhei","ceredial","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilsgadofraco","admilsgado","fraco","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilsgadoliteralingara","admilsgado","literalingara","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminaisadmicistão","adminais","admicistão","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminaiscontar","adminais","contar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administraçãogoverno","administração","governo","related","word","word",0.51264703959631,-0.379196297172671,0.835750114261803,0.152586396672903,30,34,35,0,0.971428571428571,31,34,1,0.911764705882353,FALSE,FALSE,FALSE
"administraçãoimperanhões","administração","imperanhões","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administraçãopatético","administração","patético","unrelated","word","word",0.0999412916818211,-0.270467669935991,0.483283332607229,0.0986497971732899,24,28,29,0,0.96551724137931,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"admirarapreciar","admirar","apreciar","related","word","word",0.566956266674354,-0.367769866188775,0.401222785336613,0.067819028824253,35,36,39,0,0.923076923076923,35,39,0,0.897435897435897,FALSE,FALSE,FALSE
"admirarcalharra","admirar","calharra","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admirartelefone","admirar","telefone","unrelated","word","word",0.143456519960313,-0.580321479843176,0.852965531105013,0.158391722751914,29,31,32,0,0.96875,32,32,0,1,FALSE,FALSE,FALSE
"admitirconfessar","admitir","confessar","related","word","word",0.591489964727884,-0.337359426628254,0.509652603465687,0.0980826892680359,27,29,29,0,1,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"admitirjança","admitir","jança","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admitirrua","admitir","rua","unrelated","word","word",0.118057544606841,-0.722874664748245,0.466207460936366,0.0932414921872731,25,26,27,0,0.962962962962963,26,27,0,0.962962962962963,FALSE,FALSE,FALSE
"adolescênciaadolescente","adolescência","adolescente","related","word","word",0.570391103097853,-0.458074158799546,0.563783511619991,0.115081827405287,24,25,26,0,0.961538461538462,24,26,0,0.923076923076923,FALSE,FALSE,FALSE
"adolescênciaaquibita","adolescência","aquibita","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adolescênciamolhado","adolescência","molhado","unrelated","word","word",0.0853006081391296,-0.385303251359052,0.561436502520849,0.102503812345825,30,32,32,0,1,30,32,0,0.9375,FALSE,FALSE,FALSE
"adonimoanálise","adonimo","análise","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adonimoescobris","adonimo","escobris","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoplulaopedir","adoplula","opedir","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoplulapreço","adoplula","preço","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adultoimperador","adulto","imperador","unrelated","word","word",0.117244915457349,0.0213298889868942,1.15678198601252,0.226863612294248,26,27,28,0,0.964285714285714,27,28,0,0.964285714285714,FALSE,FALSE,FALSE
"adultoparente","adulto","parente","related","word","word",0.273890199806638,-0.337200105553543,0.742186056117738,0.10825896276547,47,49,50,1,0.98,48,50,1,0.96,FALSE,TRUE,FALSE
"adultopaxes","adulto","paxes","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advogadodança","advogado","dança","unrelated","word","word",0.0519614382555871,-0.664347935015357,0.365968618680234,0.0679586664080146,29,31,32,0,0.96875,32,32,0,1,FALSE,FALSE,FALSE
"advogadomuv","advogado","muv","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advogadopromotor","advogado","promotor","related","word","word",0.551313066204663,-0.293054455400534,0.647613859889302,0.127007527263411,26,27,28,0,0.964285714285714,28,28,0,1,FALSE,FALSE,FALSE
"afirdigoarlitisoria","afirdigo","arlitisoria","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirdigoatirar","afirdigo","atirar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirmudaatindes","afirmuda","atindes","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirmudaesparguete","afirmuda","esparguete","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afogarescrebuchido","afogar","escrebuchido","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afogarfeiticeiro","afogar","feiticeiro","unrelated","word","word",0.0702554816261793,-0.241537690612318,0.495614944551726,0.0920333847341336,29,32,32,0,1,29,32,0,0.90625,FALSE,FALSE,FALSE
"afogarnadar","afogar","nadar","related","word","word",0.449690471581737,-0.643377299905217,0.588431664153316,0.113243726566205,27,28,28,0,1,26,28,0,0.928571428571429,FALSE,FALSE,FALSE
"áfricaamérica","áfrica","américa","related","word","word",0.636967003134447,-0.693988666904953,0.244221984813755,0.0418837248562542,34,38,38,0,1,38,38,0,1,FALSE,FALSE,FALSE
"áfricagravilhiam","áfrica","gravilhiam","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"áfricaoxigénio","áfrica","oxigénio","unrelated","word","word",0.106913944801047,-0.285016109088271,0.49827092124476,0.0894920993013245,31,33,33,1,1,30,32,2,0.9375,FALSE,FALSE,FALSE
"agarrarapanhar","agarrar","apanhar","related","word","word",0.437170653399219,-0.566145075270901,0.549633425564153,0.0801722749468738,47,49,50,0,0.98,48,49,1,0.979591836734694,TRUE,TRUE,FALSE
"agarraraponcação","agarrar","aponcação","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agarrarciência","agarrar","ciência","unrelated","word","word",0.137182894163458,-0.590051338570943,0.487099332183768,0.0742819517679912,43,47,47,0,1,46,47,0,0.978723404255319,FALSE,FALSE,FALSE
"agartarfaca","agartar","faca","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agartarúle","agartar","úle","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentedetetive","agente","detetive","related","word","word",0.545138327477423,-0.364937143594788,1.02920349917245,0.169200012995081,37,40,42,0,0.952380952380952,40,42,0,0.952380952380952,FALSE,FALSE,FALSE
"agentepermanemouse","agente","permanemouse","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentepesadamente","agente","pesadamente","unrelated","word","word",0.082169442736142,0.587477802509947,1.29819356770659,0.225986493243129,33,36,40,1,0.9,37,41,0,0.902439024390244,FALSE,FALSE,FALSE
"agenvadocaçõesdo","agenvado","caçõesdo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agenvadomedalhão","agenvado","medalhão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aglomelhoalfa","aglomelho","alfa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aglomelhocercacheis","aglomelho","cercacheis","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agoraconhecer","agora","conhecer","related","word","word",0.174033273828622,-0.169891872625445,1.30124594788548,0.198438146703631,43,44,44,1,1,43,44,1,0.977272727272727,FALSE,FALSE,FALSE
"agoradistraisão","agora","distraisão","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agorafatal","agora","fatal","unrelated","word","word",0.0907768872946779,-0.491738164328729,0.671557906521251,0.13431158130425,25,28,28,1,1,28,28,1,1,FALSE,FALSE,FALSE
"agradáveladorável","agradável","adorável","related","word","word",0.590351633607927,-0.672853015945452,0.516341924527831,0.0872777148818814,35,38,38,0,1,37,38,0,0.973684210526316,FALSE,FALSE,FALSE
"agradáveljuiz","agradável","juiz","unrelated","word","word",0.0755681280481901,-0.122678843632265,0.981058079575512,0.196211615915102,25,26,27,0,0.962962962962963,25,26,1,0.961538461538462,FALSE,FALSE,FALSE
"agradávelnaqui","agradável","naqui","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agralevensadebuau","agralevens","adebuau","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agralevensminuto","agralevens","minuto","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agratomaesprende","agratoma","esprende","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agratomamandar","agratoma","mandar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agraturafé","agratura","fé","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agraturarubnio","agratura","rubnio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agricadoministro","agricado","ministro","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agricadosaboxing","agricado","saboxing","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agricultorchantagem","agricultor","chantagem","unrelated","word","word",0.0495714382540214,0.179155260864266,1.25609157798338,0.251218315596675,25,26,28,0,0.928571428571429,28,28,0,1,FALSE,FALSE,FALSE
"agricultormacedimento","agricultor","macedimento","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agricultortrabalhador","agricultor","trabalhador","related","word","word",0.561294391286374,-0.627239251510493,0.445053102402847,0.0826442863574427,29,29,29,0,1,25,29,0,0.862068965517241,FALSE,FALSE,FALSE
"aguardeesperar","aguarde","esperar","related","word","word",0.460709753753785,-0.622693476723518,0.420233381037235,0.0525291726296544,64,65,65,1,1,64,66,0,0.96969696969697,TRUE,TRUE,TRUE
"aguardemillsico","aguarde","millsico","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguardepsicológico","aguarde","psicológico","unrelated","word","word",0.14238212522499,-0.379533863401014,0.330669202465807,0.0614037293766242,29,30,31,0,0.967741935483871,30,31,0,0.967741935483871,FALSE,FALSE,FALSE
"aguemáticocínico","aguemático","cínico","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguemáticopabaste","aguemático","pabaste","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguenalismomunhe","aguenalismo","munhe","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguenalismopedra","aguenalismo","pedra","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguenalmenteguartecer","aguenalmente","guartecer","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguenalmentelouco","aguenalmente","louco","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguencedoraperforme","aguencedor","aperforme","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguencedorquantidade","aguencedor","quantidade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguentáculocemitélhões","aguentáculo","cemitélhões","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguentáculojulho","aguentáculo","julho","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agulhacontraiatrado","agulha","contraiatrado","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agulhacriatividade","agulha","criatividade","unrelated","word","word",0.136997466396227,0.0102633068885286,1.00191903208072,0.250479758020179,16,19,19,1,1,18,19,1,0.947368421052632,FALSE,FALSE,FALSE
"agulhaseringa","agulha","seringa","related","word","word",0.607703692016658,-0.168304524975116,0.637821822717822,0.0950808635419912,45,47,50,1,0.94,47,50,1,0.94,FALSE,TRUE,FALSE
"aírassistência","aír","assistência","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aírpreito","aír","preito","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aivastaincluíantigador","aivasta","incluíantigador","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aivastapadre","aivasta","padre","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ajudarassistir","ajudar","assistir","related","word","word",0.232151624831195,-0.571921905627361,0.668820120578013,0.0829569261438162,65,67,67,0,1,67,67,0,1,TRUE,TRUE,TRUE
"ajudarintrepto","ajudar","intrepto","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ajudartítulo","ajudar","título","unrelated","word","word",0.106318610536098,-0.49898554545627,0.56427542983742,0.098227744139492,33,34,34,0,1,34,34,0,1,FALSE,FALSE,FALSE
"albábiologia","albá","biologia","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"albávelouvido","albá","velouvido","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"álbumcanção","álbum","canção","related","word","word",0.474982285919153,-0.623183901356523,0.345137527833548,0.0704509028564849,24,26,26,0,1,25,26,0,0.961538461538462,FALSE,FALSE,FALSE
"álbumdonse","álbum","donse","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"álbummetro","álbum","metro","unrelated","word","word",0.092831199718046,-0.719967079485934,0.360379347799144,0.0627339921197181,33,34,36,0,0.944444444444444,35,36,0,0.972222222222222,FALSE,FALSE,FALSE
"álcooldroga","álcool","droga","related","word","word",0.512704005820454,-0.85580567025885,0.312890485571563,0.0699644395250931,20,23,23,1,1,22,23,1,0.956521739130435,FALSE,FALSE,FALSE
"álcoolfeliz","álcool","feliz","unrelated","word","word",0.0686258263996467,-0.632091560292662,0.354313415204923,0.0755398739360924,22,25,27,0,0.925925925925926,25,27,0,0.925925925925926,FALSE,FALSE,FALSE
"álcoollebi","álcool","lebi","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alcunhaapelido","alcunha","apelido","related","word","word",0.616278833344477,-0.416337065901212,0.596957823098014,0.0910352145713111,43,49,49,0,1,44,49,0,0.897959183673469,FALSE,FALSE,FALSE
"alcunhasiu","alcunha","siu","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alcunhavender","alcunha","vender","unrelated","word","word",0.0982224482727906,-0.476238530181629,1.1215626899609,0.184383770429045,37,40,42,0,0.952380952380952,41,42,0,0.976190476190476,FALSE,FALSE,FALSE
"aleijetodesenvolvimento","aleijeto","desenvolvimento","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleijetolhada","aleijeto","lhada","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
