"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"korsandenizci","korsan","denizci","related","word","word",0.483443569752127,-0.505689042972535,0.669084682072374,0.0659268726817158,103,114,117,5,0.974358974358974,109,116,6,0.939655172413793,TRUE,TRUE,TRUE
"korsanprotokol","korsan","protokol","unrelated","word","word",0.114538875539707,-0.0314137727357052,0.91263695623987,0.0800435561186136,130,136,144,12,0.944444444444444,138,144,12,0.958333333333333,TRUE,TRUE,TRUE
"korsanyamaz","korsan","yamaz","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"korubensanayasa","korubens","anayasa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"korubensbelediye başkanı","korubens","belediye başkanı","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"korubensdesan","korubens","desan","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"korubenskayıt eijing","korubens","kayıt eijing","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"korumaaylık miders","koruma","aylık miders","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"korumadevriye","koruma","devriye","related","word","word",0.35176652160718,-0.129606101383247,0.849033107355391,0.0744651295463212,130,138,145,3,0.951724137931034,143,146,2,0.979452054794521,TRUE,TRUE,TRUE
"korumakbelediye başkanı","korumak","belediye başkanı","unrelated","word","word",NA,0.252386948794299,1.11438294027099,0.0969945850396959,132,146,146,6,1,143,146,6,0.979452054794521,FALSE,TRUE,TRUE
