"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abartnolojiaçıktışma","abartnoloji","açıktışma","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abartnolojikol","abartnoloji","kol","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abel paburadrenayecek","abel pabur","adrenayecek","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abel paburbakan","abel pabur","bakan","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablaabi","abla","abi","related","word","word",0.617457162133019,-0.587208324462576,0.526882744879763,0.0491320692979234,115,128,130,8,0.984615384615385,119,131,7,0.908396946564885,TRUE,TRUE,TRUE
"ablaiguz","abla","iguz","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablaşampiyona","abla","şampiyona","unrelated","word","word",0.107028584780046,0.614544498495544,1.82056468376014,0.168311264553745,117,127,165,2,0.76969696969697,163,166,1,0.981927710843373,FALSE,TRUE,TRUE
"abur cuburkapitazecek","abur cubur","kapitazecek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abur cuburöğle yemeği","abur cubur","öğle yemeği","related","word","word",NA,-0.104963143087586,0.949440353687853,0.0849205268570993,125,143,150,7,0.953333333333333,132,150,7,0.88,TRUE,TRUE,TRUE
"abur cuburprototip","abur cubur","prototip","unrelated","word","word",NA,0.671312497076871,0.924385544134712,0.0885400771850684,109,119,157,6,0.75796178343949,142,157,6,0.904458598726115,TRUE,TRUE,TRUE
"açgözilerli","açgöz","ilerli","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açgözun","açgöz","un","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acilaciliyet","acil","aciliyet","related","word","word",0.504731578844758,-0.138214721537848,0.934952631858967,0.0839612249128789,124,133,140,5,0.95,134,140,5,0.957142857142857,TRUE,TRUE,TRUE
"acilhatırlamak","acil","hatırlamak","unrelated","word","word",0.10376438965524,-0.35048635722868,0.703988411562292,0.058262495491678,146,162,167,4,0.970059880239521,160,167,4,0.958083832335329,TRUE,TRUE,TRUE
"acilsoh","acil","soh","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acı çekmekalımlı","acı çekmek","alımlı","unrelated","word","word",NA,-0.0347376982789278,0.912202810577554,0.0912202810577554,100,108,117,10,0.923076923076923,114,117,10,0.974358974358974,FALSE,TRUE,TRUE
"acı çekmekgagangsteci","acı çekmek","gagangsteci","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acı çekmekölmek","acı çekmek","ölmek","related","word","word",NA,-0.473742681890602,0.67068040029203,0.0575103698664473,136,145,147,4,0.986394557823129,144,148,3,0.972972972972973,TRUE,TRUE,TRUE
"acıkbiyenfinansman","acıkbiyen","finansman","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acıkbiyenhastaokul","acıkbiyen","hastaokul","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıkçabesbelli","açıkça","besbelli","related","word","word",0.366847709765466,0.252815322335136,0.859609298417998,0.0768857930141419,125,131,143,12,0.916083916083916,137,143,12,0.958041958041958,TRUE,TRUE,TRUE
"açıkçauygulaurent","açıkça","uygulaurent","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıkçayemin","açıkça","yemin","unrelated","word","word",0.147138259567683,-0.326956469565475,0.836058277992612,0.0756931599330845,122,132,137,11,0.963503649635037,129,136,12,0.948529411764706,TRUE,TRUE,TRUE
"açıkhabaisimlı","açıkhaba","isimlı","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıkhabayatırımcı","açıkhaba","yatırımcı","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıklamadevriye","açıklama","devriye","unrelated","word","word",0.0836947980491903,0.0703053620951266,1.00197004016825,0.0938430923251525,114,121,126,10,0.96031746031746,120,126,10,0.952380952380952,FALSE,TRUE,TRUE
"açıklamamantıklı","açıklama","mantıklı","related","word","word",0.400803411691001,-0.541254281040253,0.619044361887807,0.051057918425178,147,160,163,11,0.98159509202454,158,163,11,0.969325153374233,TRUE,TRUE,TRUE
"açıklamavitaokul","açıklama","vitaokul","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıklemekaçıkhamet","açıklemek","açıkhamet","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıklemekkuvvet","açıklemek","kuvvet","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıktanebiyolopis","açıktane","biyolopis","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıktanetelevizyon","açıktane","televizyon","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açılışhalüsinasyon","açılış","halüsinasyon","unrelated","word","word",0.105724146368739,0.996953366093583,1.53804449659759,0.139248005946053,122,134,148,12,0.905405405405405,145,149,11,0.973154362416107,FALSE,TRUE,TRUE
"açılışkapanış","açılış","kapanış","related","word","word",0.672848739157415,-0.563299622548181,0.713084433725072,0.0699236815846808,104,117,119,4,0.983193277310924,113,118,5,0.957627118644068,TRUE,TRUE,TRUE
"açılışwindsiyon","açılış","windsiyon","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açılmaldemeyve sacock","açılmalde","meyve sacock","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açılmaldeüretim","açılmalde","üretim","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açılsanestar","açılsane","star","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açılsanetışmak","açılsane","tışmak","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıyupkacai","açıyup","kacai","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açıyupmorluk","açıyup","morluk","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açküöfkeöidürmek","açkü","öfkeöidürmek","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açküsemt","açkü","semt","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açlıkbilim insanı","açlık","bilim insanı","unrelated","word","word",NA,-0.100073606382843,0.79531452401762,0.066047276281692,145,153,160,7,0.95625,152,159,8,0.955974842767296,TRUE,TRUE,TRUE
"açlıkishie","açlık","ishie","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açlıksusuzluk","açlık","susuzluk","related","word","word",0.625191234168805,-0.365448099302702,0.744298001695442,0.0618105847049777,145,166,171,4,0.970760233918129,167,171,4,0.976608187134503,TRUE,TRUE,TRUE
"açmakbıki","açmak","bıki","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açmakkapatmak","açmak","kapatmak","related","word","word",0.623792199594854,-0.485613875508759,0.644060083246556,0.055025766415139,137,149,158,8,0.943037974683544,148,158,8,0.936708860759494,TRUE,TRUE,TRUE
"açmaktakım","açmak","takım","unrelated","word","word",0.0577772019982467,-0.475853251457827,0.683723603331696,0.0629418594885141,118,129,131,6,0.984732824427481,124,129,8,0.961240310077519,TRUE,TRUE,TRUE
"actihıristirecek","acti","hıristirecek","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actisiyah","acti","siyah","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adakaçeden","adaka","çeden","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adakakonum","adaka","konum","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adaletsizhaksız","adaletsiz","haksız","related","word","word",0.490942161279334,-0.399053128430747,0.632115765178392,0.0550186153474484,132,142,144,5,0.986111111111111,136,143,6,0.951048951048951,TRUE,TRUE,TRUE
"adaletsizkingsbvalimanı","adaletsiz","kingsbvalimanı","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adaletsizkoku","adaletsiz","koku","unrelated","word","word",-0.0152074947900878,-0.462982821207901,0.624079640882492,0.0551613682585595,128,136,137,14,0.992700729927007,132,137,14,0.963503649635037,TRUE,TRUE,TRUE
"adam kaçıranfidye","adam kaçıran","fidye","related","word","word",NA,-0.0418541037456076,1.03041678513538,0.0969334572909592,113,122,128,7,0.953125,120,127,8,0.94488188976378,FALSE,TRUE,TRUE
"adam kaçıranğulmak","adam kaçıran","ğulmak","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adam kaçırankar","adam kaçıran","kar","unrelated","word","word",NA,-0.277383472795622,0.851081751845045,0.0752257097592197,128,142,148,5,0.959459459459459,142,148,5,0.959459459459459,TRUE,TRUE,TRUE
"adambirincil","adam","birincil","unrelated","word","word",0.0745172524769727,-0.385058624923003,0.587296430251676,0.0554942964400688,112,121,125,2,0.968,122,125,2,0.976,TRUE,TRUE,TRUE
"adamboeb","adam","boeb","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adaminsan","adam","insan","related","word","word",0.456727450041663,-0.668728258582251,0.696032925044581,0.0651894561990459,114,124,126,8,0.984126984126984,122,127,7,0.960629921259842,TRUE,TRUE,TRUE
"adamlamakçileceklata","adamlamak","çileceklata","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamlamakhastiş","adamlamak","hastiş","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamlamakseçmen","adamlamak","seçmen","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamlamaktedavi","adamlamak","tedavi","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamlemeksipamond","adamlemek","sipamond","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamlemekspagetti","adamlemek","spagetti","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamturmakgüinn","adamturmak","güinn","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamturmakhalüsinasyon","adamturmak","halüsinasyon","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamyonerbilgisayar","adamyoner","bilgisayar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adamyonerhalçında","adamyoner","halçında","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adaybaşkentmak","aday","başkentmak","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adayhoş","aday","hoş","unrelated","word","word",0.0716549316521802,-0.613411268607797,0.758587126513297,0.0720019036605009,111,118,121,6,0.975206611570248,114,122,5,0.934426229508197,TRUE,TRUE,TRUE
"adayseçmen","aday","seçmen","related","word","word",0.40492031797126,-0.506835739006027,0.559395269165521,0.0498348914523707,126,132,135,7,0.977777777777778,130,135,7,0.962962962962963,TRUE,TRUE,TRUE
"adibiironik","adibi","ironik","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adibiskanrer","adibi","skanrer","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adilharita","adil","harita","unrelated","word","word",0.0783897619375572,-0.51498214469914,0.737643402685282,0.066242333063674,124,131,134,11,0.977611940298508,127,135,10,0.940740740740741,TRUE,TRUE,TRUE
"adilmakul","adil","makul","related","word","word",0.490889667840725,-0.316039709535566,0.644761428088884,0.0579012855135594,124,136,139,10,0.97841726618705,130,141,8,0.921985815602837,TRUE,TRUE,TRUE
"adiltavrik","adil","tavrik","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adisalelekthan","adisal","elekthan","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adisalsantimetre","adisal","santimetre","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adkıkaygı","adkı","kaygı","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adkıkesyo","adkı","kesyo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adrthog oltayan","adrt","hog oltayan","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adrtkesik","adrt","kesik","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afedilmekoy","afedilmek","oy","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afedilmekyuanahta","afedilmek","yuanahta","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"affetmekailerılmış","affetmek","ailerılmış","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"affetmekgösteri","affetmek","gösteri","unrelated","word","word",0.112270205830929,-0.417269616025103,0.653779913993538,0.0623354689593039,110,121,126,7,0.96031746031746,120,125,8,0.96,TRUE,TRUE,TRUE
"affetmeközür","affetmek","özür","related","word","word",0.425612350331911,-0.460452480779506,0.724957417323986,0.0623944000890075,135,140,150,7,0.933333333333333,142,149,8,0.953020134228188,TRUE,TRUE,TRUE
"afrikaamerika","afrika","amerika","related","word","word",0.585616394146841,-0.575746033046038,0.705129013709045,0.0628178853041207,126,138,141,5,0.978723404255319,135,142,4,0.950704225352113,TRUE,TRUE,TRUE
"afrikabaplanlı","afrika","baplanlı","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikasezgi","afrika","sezgi","unrelated","word","word",0.0652969626708636,-0.364797249135495,0.686182467831233,0.0606505345168481,128,133,135,6,0.985185185185185,131,134,7,0.977611940298508,TRUE,TRUE,TRUE
"aftetrabarksda","aft","etrabarksda","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aftzulüm","aft","zulüm","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağgercarsten","ağ","gercarsten","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağırağır şekilde","ağır","ağır şekilde","related","word","word",NA,0.00324419354962981,0.74408482458263,0.0682101440356397,119,129,132,4,0.977272727272727,126,131,5,0.961832061068702,TRUE,TRUE,TRUE
"ağıraşı","ağır","aşı","unrelated","word","word",0.127584891934009,-0.440264305405568,0.909492613540344,0.0742597609334713,150,160,162,3,0.987654320987654,156,161,4,0.968944099378882,TRUE,TRUE,TRUE
"ağırelv","ağır","elv","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağırlıkhelikopter","ağırlık","helikopter","unrelated","word","word",0.123068679291016,-0.325588551050568,0.541984948751668,0.0466466373424509,135,143,147,1,0.972789115646258,143,147,1,0.972789115646258,TRUE,TRUE,TRUE
"ağırlıkmeaçıklık","ağırlık","meaçıklık","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağırlıkyükseklik","ağırlık","yükseklik","related","word","word",0.352410798271876,-0.49328247863981,0.72652657217559,0.0695886247741402,109,118,120,5,0.983333333333333,116,120,5,0.966666666666667,TRUE,TRUE,TRUE
"ağıryüzücenapark","ağıryüzü","cenapark","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağıryüzükişilik","ağıryüzü","kişilik","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağızburun","ağız","burun","related","word","word",0.554851995951324,-0.604542907624642,0.487430234042079,0.0437725272010546,124,132,134,4,0.985074626865672,130,134,4,0.970149253731343,TRUE,TRUE,TRUE
"ağızkovmak","ağız","kovmak","unrelated","word","word",0.0926254977336185,-0.443224804066079,0.817667175987728,0.0746424594700042,120,127,133,6,0.954887218045113,129,133,6,0.969924812030075,TRUE,TRUE,TRUE
"ağızoturt yazısı","ağız","oturt yazısı","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağkavga etmek","ağ","kavga etmek","unrelated","word","word",NA,-0.182757566221967,0.879380504509224,0.0809535371925813,118,124,128,6,0.96875,109,128,6,0.8515625,TRUE,TRUE,TRUE
"ağnnsolı","ağnn","solı","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağnntamirat","ağnn","tamirat","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağsistem","ağ","sistem","related","word","word",0.406904287297914,-0.737732365962863,0.405635354921076,0.0484826981159181,70,74,76,4,0.973684210526316,71,76,4,0.93421052631579,TRUE,TRUE,TRUE
"ağyndüşünmek","ağyn","düşünmek","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ağynolati","ağyn","olati","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aidshiv","aids","hiv","related","word","word",0.706391625474437,0.414535706743018,1.35090182472718,0.124360593111637,118,130,190,9,0.68421052631579,94,189,10,0.497354497354497,FALSE,TRUE,TRUE
"aidsrahar","aids","rahar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aidsrestoran","aids","restoran","unrelated","word","word",0.05305836324244,0.334428507460958,1.39415075063718,0.128341979456049,118,126,135,5,0.933333333333333,39,131,9,0.297709923664122,FALSE,TRUE,TRUE
"aileliçefüze","aileliçe","füze","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aileliçegünme","aileliçe","günme","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aileniyebelge","aileniye","belge","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aileniyeenn","aileniye","enn","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aileyetikorada","aileyetik","orada","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aileyetikpatrickmak","aileyetik","patrickmak","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ajanbatılı","ajan","batılı","unrelated","word","word",0.0938598245084969,-0.200162290520606,0.61181874432522,0.061181874432522,100,109,115,5,0.947826086956522,104,115,5,0.904347826086957,TRUE,TRUE,TRUE
"ajandedektif","ajan","dedektif","related","word","word",0.568999915654688,-0.209651344844875,0.757419205258271,0.0757419205258271,100,106,109,4,0.972477064220184,103,109,4,0.944954128440367,TRUE,TRUE,TRUE
"ajangönöpüşmek","ajan","gönöpüşmek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akıllıtalihsizlik","akıllı","talihsizlik","unrelated","word","word",0.0597746579981645,0.0250999306551812,0.920942340950906,0.0783958182186709,138,156,159,8,0.981132075471698,148,158,9,0.936708860759494,TRUE,TRUE,TRUE
"akıllıturyal","akıllı","turyal","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akıllızeki","akıllı","zeki","related","word","word",0.803728702163207,-0.654342622153863,0.601648488309806,0.0517816572332166,135,148,154,6,0.961038961038961,147,154,6,0.954545454545455,TRUE,TRUE,TRUE
"akımelektrik","akım","elektrik","related","word","word",0.547621979794195,-0.456592967228335,0.852362201818207,0.0788009134339213,117,130,131,5,0.99236641221374,126,131,5,0.961832061068702,TRUE,TRUE,TRUE
"akımtrajik","akım","trajik","unrelated","word","word",0.120718131762874,-0.124585138919959,0.786750194432812,0.066256318764105,141,152,163,9,0.932515337423313,152,163,9,0.932515337423313,TRUE,TRUE,TRUE
"akımyoğunoturtmak","akım","yoğunoturtmak","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akıntıcıalbay","akıntıcı","albay","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akıntıcıdüömürlük","akıntıcı","düömürlük","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aklaterm","aklat","erm","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aklatpara","aklat","para","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akrabadefranci","akraba","defranci","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akrabakuzen","akraba","kuzen","related","word","word",0.525838387379582,-0.516040119948807,0.646651791624755,0.0569345156013104,129,140,144,6,0.972222222222222,141,144,6,0.979166666666667,TRUE,TRUE,TRUE
"akrabasancı","akraba","sancı","unrelated","word","word",0.0951032748629944,0.00434241339501501,1.15413916468044,0.10670020351991,117,127,139,9,0.913669064748201,133,140,8,0.95,FALSE,TRUE,TRUE
"akrikurtarıcı","akri","kurtarıcı","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akriteytum","akri","teytum","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akşam yemaworldheykel","akşam yemaworld","heykel","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akşam yemaworldvongo","akşam yemaworld","vongo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akşam yemegigög merültüsü","akşam yemegi","gög merültüsü","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akşam yemegikahvaltı","akşam yemegi","kahvaltı","related","word","word",NA,0.241650908365834,1.36670816324496,0.113109572390245,146,159,162,3,0.981481481481482,129,161,4,0.801242236024845,FALSE,TRUE,TRUE
"akşam yemegisefalet","akşam yemegi","sefalet","unrelated","word","word",NA,0.700777859024524,1.23267208261923,0.125809067607958,96,102,112,8,0.910714285714286,83,110,10,0.754545454545455,FALSE,TRUE,TRUE
"aktifaktivite","aktif","aktivite","related","word","word",0.383504108642116,-0.117305867034222,0.845320821551827,0.0709377475226336,142,155,160,10,0.96875,153,160,10,0.95625,TRUE,TRUE,TRUE
"aktifgüverte","aktif","güverte","unrelated","word","word",0.0940048180008567,-0.016100061503622,0.89009480545503,0.0841060535180153,112,120,135,2,0.888888888888889,130,136,1,0.955882352941177,TRUE,TRUE,TRUE
"aktifyumurtrı","aktif","yumurtrı","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alanbölge","alan","bölge","related","word","word",0.400182468650002,-0.623298756766159,0.554402162711894,0.0451166081532709,151,156,159,3,0.981132075471698,138,159,3,0.867924528301887,TRUE,TRUE,TRUE
"alansenato","alan","senato","unrelated","word","word",0.13089247016808,0.553785461266475,1.12599041636129,0.107850321769795,109,124,155,8,0.8,146,155,8,0.941935483870968,FALSE,TRUE,TRUE
"alantisenkro","alan","tisenkro","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alayfotoğrafnecek","alay","fotoğrafnecek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alayoturmak","alay","oturmak","unrelated","word","word",0.113383135701762,-0.51786354537919,0.509785555063235,0.0445401707485948,131,146,151,4,0.966887417218543,137,151,4,0.90728476821192,TRUE,TRUE,TRUE
"alaytabur","alay","tabur","related","word","word",0.335028057586683,-0.295171749595261,0.749684043393318,0.0631347857336599,141,157,166,5,0.94578313253012,155,166,5,0.933734939759036,TRUE,TRUE,TRUE
"albümadamlike","albüm","adamlike","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
