"word_combo","no_cue","no_target","type","cue_type","target_type","no_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"normalvanlig","normal","vanlig","related","word","word",0.389418639469289,-0.560265929550884,0.159721181108678,0.0922150669083804,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"noromsjekktur","norom","sjekktur","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noromsjokolade","norom","sjokolade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"norwaysskapning","norways","skapning","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"norwaysutvekske","norways","utvekske","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noskubberhammer","noskubber","hammer","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noskubberriott","noskubber","riott","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"novemberårve","november","årve","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"novemberblanding","november","blanding","unrelated","word","word",0.0213166235832827,1.75581424763433,2.78343631244591,1.96818669153138,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"novemberdesember","november","desember","related","word","word",0.671675426476739,-1.14096607810342,0.269103910739464,0.190285200127694,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"nummeradresse","nummer","adresse","related","word","word",0.425400257991394,-0.771792301888533,0.0902293034713119,0.0520939126479544,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"nummerevaluehjelm","nummer","evaluehjelm","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nummerutdanning","nummer","utdanning","unrelated","word","word",0.0649038411961799,-0.139212676947889,0.955299347796743,0.675498646890163,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"nydhallusinasjon","nyd","hallusinasjon","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nydhonvel","nyd","honvel","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nyreha det","nyre","ha det","unrelated","word","word",NA,-0.489025160214408,0.154316197268167,0.0771580986340836,4,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"nyrelever","nyre","lever","related","word","word",0.257957978152123,-0.52610412219073,0.31857263599937,0.159286317999685,4,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"nyretilholdskelig","nyre","tilholdskelig","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nyteglede","nyte","glede","related","word","word",0.277589259107592,-0.155161751152081,0.78828494263499,0.394142471317495,4,4,4,0,1,3,3,1,1,FALSE,FALSE,FALSE
