"word_combo","ko_cue","ko_target","type","cue_type","target_type","ko_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"~ 할 수있게하다과장하다","~ 할 수있게하다","과장하다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"~ 할 수있게하다깨어하다","~ 할 수있게하다","깨어하다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"~ 할 수있게하다제공하다","~ 할 수있게하다","제공하다","related","word","word",NA,NA,NA,NA,NA,NA
"ag의올려한","ag의","올려한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ag의추정","ag의","추정","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ca한래블","ca한","래블","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ca한편지","ca한","편지","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"de하는공항","de하는","공항","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"de하는비싸만한","de하는","비싸만한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"dn폴락빙글","dn폴락","빙글","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"dn폴락지속적으로","dn폴락","지속적으로","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ev원cl자","ev원","cl자","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ev원유명한","ev원","유명한","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"hy아침","hy","아침","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"hy할껀","hy","할껀","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ib교류스","ib","교류스","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ib나쁜","ib","나쁜","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"il 사람옮기다","il 사람","옮기다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"il 사람하더","il 사람","하더","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"i다노프","i다","노프","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"i다성","i다","성","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"i와생물","i와","생물","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"i와폼에","i와","폼에","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"kj거울","kj","거울","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"kj렀죠","kj","렀죠","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ko 차별 주의자녹음","ko 차별 주의자","녹음","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ko 차별 주의자록우한","ko 차별 주의자","록우한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"mt네씨","mt","네씨","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"mt도마뱀","mt","도마뱀","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"n을귀찮","n을","귀찮","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"n을주요","n을","주요","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"oa만스째","oa","만스째","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"oa망청","oa","망청","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"oa정의","oa","정의","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"oa투자자","oa","투자자","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"o인배트맨","o인","배트맨","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"o인아름순한","o인","아름순한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"rome근무강하게","rome근무","강하게","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"rome근무로마한","rome근무","로마한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"r에선데","r에","선데","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"r에위성","r에","위성","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"r을문제","r을","문제","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"r을완수 있는","r을","완수 있는","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"si관전시회","si관","전시회","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"si관턱없","si관","턱없","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"sp럽의","sp","럽의","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"sp이해하다","sp","이해하다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"sv지상해","sv지","상해","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"sv지소름 끼변신","sv지","소름 끼변신","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"s랑밝은","s랑","밝은","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"s랑샤바","s랑","샤바","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"th더능에","th더","능에","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"th더말","th더","말","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"u는가을","u는","가을","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"u는상들","u는","상들","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"u는엘드","u는","엘드","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"u는표현하다","u는","표현하다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"vy맨 말벌","vy","맨 말벌","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"vy상","vy","상","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"wo스러운부리","wo스러운","부리","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"wo스러운살인","wo스러운","살인","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ws삼각형","ws","삼각형","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ws템도","ws","템도","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"wz델을","wz","델을","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"wz얌전한","wz","얌전한","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"xt믿다","xt","믿다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"xt샤바","xt","샤바","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"yn동상","yn","동상","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"yn일즈","yn","일즈","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"zl돕다","zl","돕다","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"zl식당","zl","식당","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가끔드물게","가끔","드물게","related","word","word",0.265907278342495,NA,NA,NA,NA,NA
"가끔여왕자","가끔","여왕자","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가끔조각","가끔","조각","unrelated","word","word",0.0674980534075949,NA,NA,NA,NA,NA
"가난고통","가난","고통","related","word","word",NA,NA,NA,NA,NA,NA
"가난메세지","가난","메세지","unrelated","word","word",NA,NA,NA,NA,NA,NA
"가난팅을","가난","팅을","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가난한력한","가난한","력한","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가난한부자","가난한","부자","related","word","word",0.460592583076489,NA,NA,NA,NA,NA
"가난한점검","가난한","점검","unrelated","word","word",0.102435399869242,NA,NA,NA,NA,NA
"가능성가망","가능성","가망","related","word","word",0.368232438108505,NA,NA,NA,NA,NA
"가능성망치","가능성","망치","unrelated","word","word",0.113198983802092,NA,NA,NA,NA,NA
"가능성선물밥","가능성","선물밥","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가동상의기능의","가동상의","기능의","related","word","word",NA,NA,NA,NA,NA,NA
"가동상의선수권 졌단","가동상의","선수권 졌단","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가동상의아름다운","가동상의","아름다운","unrelated","word","word",NA,NA,NA,NA,NA,NA
"가들사전가","가들","사전가","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가들정상","가들","정상","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가랑뉴스","가랑","뉴스","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가랑직원다","가랑","직원다","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가르말하다re다","가르말하다","re다","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가르말하다격노","가르말하다","격노","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가리길러리무진","가리길러","리무진","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가리길러브에","가리길러","브에","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가리키다내비치다","가리키다","내비치다","related","word","word",NA,NA,NA,NA,NA,NA
"가리키다목도기","가리키다","목도기","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가리키다자비","가리키다","자비","unrelated","word","word",NA,NA,NA,NA,NA,NA
"가수봤었한","가수","봤었한","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가수상관 대리","가수","상관 대리","unrelated","word","word",NA,NA,NA,NA,NA,NA
"가수음악가","가수","음악가","related","word","word",0.507509724949811,NA,NA,NA,NA,NA
"가스쇠약","가스","쇠약","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가스연료","가스","연료","related","word","word",0.431117748839036,NA,NA,NA,NA,NA
"가스줄리엣","가스","줄리엣","unrelated","word","word",0.116675103858624,NA,NA,NA,NA,NA
"가야하다s랑","가야하다","s랑","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가야하다상상속의 환각","가야하다","상상속의 환각","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가엔루로","가엔","루로","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가엔복부","가엔","복부","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가엔정의","가엔","정의","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가엔해드","가엔","해드","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가잖우우","가잖","우우","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가잖폭발하다","가잖","폭발하다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가져오다보내다","가져오다","보내다","related","word","word",NA,NA,NA,NA,NA,NA
"가져오다우가","가져오다","우가","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가져오다합법적 인","가져오다","합법적 인","unrelated","word","word",NA,NA,NA,NA,NA,NA
"가져해제nn","가져해제","nn","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가져해제어제","가져해제","어제","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가즘갈리","가즘","갈리","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가즘치명적인","가즘","치명적인","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가짜거짓","가짜","거짓","related","word","word",0.27904810965178,NA,NA,NA,NA,NA
"가짜장관","가짜","장관","unrelated","word","word",0.119685806426609,NA,NA,NA,NA,NA
"가짜트한자","가짜","트한자","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가톨릭기독교","가톨릭","기독교","related","word","word",0.544913312522367,NA,NA,NA,NA,NA
"가톨릭추천하다","가톨릭","추천하다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"가톨릭콘크","가톨릭","콘크","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"각지어린","각지","어린","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"각지토씨","각지","토씨","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간다한조사","간다한","조사","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간다한테나","간다한","테나","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간단한거만","간단한","거만","unrelated","word","word",0.117565583045709,NA,NA,NA,NA,NA
"간단한느낌기","간단한","느낌기","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"간단한단순한","간단한","단순한","related","word","word",0.404496698046979,NA,NA,NA,NA,NA
"간만염산","간만","염산","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간만핵무기","간만","핵무기","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간식검은빅햄","간식","검은빅햄","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"간식원기","간식","원기","unrelated","word","word",NA,NA,NA,NA,NA,NA
"간식점심","간식","점심","related","word","word",0.491188634063238,NA,NA,NA,NA,NA
"간지림제공가","간지림","제공가","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간지림조종사","간지림","조종사","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간지한기쁨","간지한","기쁨","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간지한드라","간지한","드라","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간지한아빠","간지한","아빠","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간지한졸리","간지한","졸리","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"갇힐위눈꼽","갇힐위","눈꼽","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"갇힐위빼기","갇힐위","빼기","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"갈등논쟁","갈등","논쟁","related","word","word",0.434634858783093,NA,NA,NA,NA,NA
"갈등대령","갈등","대령","unrelated","word","word",0.0616040878594381,NA,NA,NA,NA,NA
"갈등안테","갈등","안테","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"갈색롤할","갈색","롤할","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"갈색사격","갈색","사격","unrelated","word","word",0.104947040724752,NA,NA,NA,NA,NA
"갈색푸른","갈색","푸른","related","word","word",0.4013159135415,NA,NA,NA,NA,NA
"갈수반과거","갈수반","과거","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"갈수반락만","갈수반","락만","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"감자유죄한","감자","유죄한","unrelated","word","word",NA,NA,NA,NA,NA,NA
"감자유충","감자","유충","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"감자토마토","감자","토마토","related","word","word",0.436971506415517,NA,NA,NA,NA,NA
"감지기re다","감지기","re다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"감지기소녀들","감지기","소녀들","unrelated","word","word",0.188361918765846,NA,NA,NA,NA,NA
"감지기송신기","감지기","송신기","related","word","word",0.555763634796356,NA,NA,NA,NA,NA
"갑자기뜻밖에","갑자기","뜻밖에","related","word","word",0.259506723121444,NA,NA,NA,NA,NA
"갑자기샌가","갑자기","샌가","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"갑자기알약","갑자기","알약","unrelated","word","word",0.151208287548028,NA,NA,NA,NA,NA
"값 조리구원자","값 조리","구원자","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"값 조리치유학","값 조리","치유학","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"값가격","값","가격","related","word","word",0.536217846664986,NA,NA,NA,NA,NA
"값보스턴","값","보스턴","unrelated","word","word",0.166519383262564,NA,NA,NA,NA,NA
"값상들","값","상들","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"강묻은디","강","묻은디","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"강사기","강","사기","unrelated","word","word",0.113346330002502,NA,NA,NA,NA,NA
"강인한단단한","강인한","단단한","related","word","word",0.38720923809549,NA,NA,NA,NA,NA
"강인한데라","강인한","데라","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"강인한승인","강인한","승인","unrelated","word","word",0.163168933113675,NA,NA,NA,NA,NA
"강조반품","강조","반품","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"강조지구스","강조","지구스","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"강철 장자교회다","강철 장자","교회다","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"강철 장자헤로인","강철 장자","헤로인","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"강한데프","강한","데프","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"강한약한","강한","약한","related","word","word",0.356301463195221,NA,NA,NA,NA,NA
"강한이론","강한","이론","unrelated","word","word",0.110771269846874,NA,NA,NA,NA,NA
"강호수","강","호수","related","word","word",0.466111752023595,NA,NA,NA,NA,NA
"같았 그대로원인","같았 그대로","원인","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"같았 그대로준비했는","같았 그대로","준비했는","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"개ki한","개","ki한","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"개고양이","개","고양이","related","word","word",0.323942314389819,NA,NA,NA,NA,NA
"개구리도마뱀","개구리","도마뱀","related","word","word",0.471732971152288,NA,NA,NA,NA,NA
"개구리위험한","개구리","위험한","unrelated","word","word",0.0757744824745599,NA,NA,NA,NA,NA
"개구리헌터대","개구리","헌터대","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"개념늘렸","개념","늘렸","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"개념자주","개념","자주","unrelated","word","word",0.128852803320108,NA,NA,NA,NA,NA
"개념정의","개념","정의","related","word","word",0.429206583219305,NA,NA,NA,NA,NA
"개보은","개보","은","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"개보저대","개보","저대","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"개새주사업가","개새주","사업가","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"개새주의심컨","개새주","의심컨","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"개열정","개","열정","unrelated","word","word",0.119074823709306,NA,NA,NA,NA,NA
"개인적인기나","개인적인","기나","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"개인적인목 마름","개인적인","목 마름","unrelated","word","word",NA,NA,NA,NA,NA,NA
"개인적인친밀한","개인적인","친밀한","related","word","word",0.394256128868913,NA,NA,NA,NA,NA
"갤러리말하다","갤러리","말하다","unrelated","word","word",0.0945420559759932,NA,NA,NA,NA,NA
"갤러리음란","갤러리","음란","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"갤러리전시회","갤러리","전시회","related","word","word",0.418835694558377,NA,NA,NA,NA,NA
"걔한그리다","걔한","그리다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"걔한ガリ","걔한","ガリ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"거기원됬잖","거기원","됬잖","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"거기원잠그다","거기원","잠그다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"거룩한링스","거룩한","링스","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"거룩한영광","거룩한","영광","related","word","word",0.580496375080499,NA,NA,NA,NA,NA
"거룩한자주","거룩한","자주","unrelated","word","word",0.0997804131800753,NA,NA,NA,NA,NA
"거리누르다","거리","누르다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"거리라곤","거리","라곤","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"거리속도","거리","속도","related","word","word",0.267633761854603,NA,NA,NA,NA,NA
"거미곤충","거미","곤충","related","word","word",0.486868140070749,NA,NA,NA,NA,NA
"거미능이","거미","능이","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"거미스러운무쌍한","거미스러운","무쌍한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"거미스러운천국 같은","거미스러운","천국 같은","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"거미집중","거미","집중","unrelated","word","word",0.120941936262,NA,NA,NA,NA,NA
"거였이성하스","거였이","성하스","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"거였이포식자","거였이","포식자","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"거위사전가","거위","사전가","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"거위오리","거위","오리","related","word","word",0.398177551831804,NA,NA,NA,NA,NA
"거위의도적으로","거위","의도적으로","unrelated","word","word",0.16177526853622,NA,NA,NA,NA,NA
"거절높은","거절","높은","unrelated","word","word",0.0837000420486607,NA,NA,NA,NA,NA
"거절동의","거절","동의","related","word","word",0.49873457910562,NA,NA,NA,NA,NA
"거절사무애야","거절","사무애야","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"거주자약속자는","거주자","약속자는","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"거주자엉덩이","거주자","엉덩이","unrelated","word","word",NA,NA,NA,NA,NA,NA
"거주자집주인","거주자","집주인","related","word","word",NA,NA,NA,NA,NA,NA
"거짓말하다거짓말 쟁이","거짓말하다","거짓말 쟁이","related","word","word",NA,NA,NA,NA,NA,NA
"거짓말하다리모","거짓말하다","리모","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"거짓말하다수도희","거짓말하다","수도희","unrelated","word","word",NA,NA,NA,NA,NA,NA
"걱정하는z가","걱정하는","z가","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"걱정하는불안한","걱정하는","불안한","related","word","word",0.369417872767984,NA,NA,NA,NA,NA
"걱정하는키","걱정하는","키","unrelated","word","word",0.10219602952015,NA,NA,NA,NA,NA
"건강교육","건강","교육","related","word","word",0.499220932113684,NA,NA,NA,NA,NA
"건강외로운","건강","외로운","unrelated","word","word",0.149121011506909,NA,NA,NA,NA,NA
"건강쳐준","건강","쳐준","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"건강한새벽","건강한","새벽","unrelated","word","word",0.138270772289561,NA,NA,NA,NA,NA
"건강한시코","건강한","시코","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"건강한정상","건강한","정상","related","word","word",0.179140207144008,NA,NA,NA,NA,NA
"건만문단","건만","문단","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"건만받으사","건만","받으사","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"건설바닐라","건설","바닐라","unrelated","word","word",0.133441295099624,NA,NA,NA,NA,NA
"건설샌드","건설","샌드","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"건설짓다","건설","짓다","related","word","word",NA,NA,NA,NA,NA,NA
"건지있는sp","건지있는","sp","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"건지있는치다","건지있는","치다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"걸거매력적인","걸거","매력적인","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"걸거트씨","걸거","트씨","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"걸고고eh주의","걸고고","eh주의","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"걸고고만나다","걸고고","만나다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"걸에모랄","걸에","모랄","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"걸에행정","걸에","행정","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"검사셨지","검사","셨지","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"검사수염","검사","수염","unrelated","word","word",0.0930510296692484,NA,NA,NA,NA,NA
"검사점검","검사","점검","related","word","word",0.41229886234789,NA,NA,NA,NA,NA
"검색눈","검색","눈","unrelated","word","word",0.11784441489822,NA,NA,NA,NA,NA
"검색서쪽트","검색","서쪽트","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"검색찾기","검색","찾기","related","word","word",0.237766207756631,NA,NA,NA,NA,NA
"검신중","검","신중","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"검이상한","검","이상한","unrelated","word","word",0.121823996625882,NA,NA,NA,NA,NA
"검칼","검","칼","related","word","word",0.309812938220855,NA,NA,NA,NA,NA
"겁주다놀라다","겁주다","놀라다","related","word","word",NA,NA,NA,NA,NA,NA
"겁주다약한","겁주다","약한","unrelated","word","word",NA,NA,NA,NA,NA,NA
"겁주다영역츠","겁주다","영역츠","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"겁줘이끌어츄르다","겁줘이","끌어츄르다","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"겁줘이한모금","겁줘이","한모금","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"것까봤었한","것까","봤었한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"것까정보","것까","정보","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"것조겁먹","것조","겁먹","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"것조운동","것조","운동","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"게가p의","게가","p의","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"게가체포","게가","체포","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"게든겼지","게든","겼지","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"게든플라스틱","게든","플라스틱","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"게를버텼","게를","버텼","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"게를스포츠","게를","스포츠","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"겠고좋겠실","겠고","좋겠실","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"겠고폐쇄","겠고","폐쇄","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"겠는낫잖 음료","겠는","낫잖 음료","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"겠는빠른","겠는","빠른","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"결론pe적 인","결론","pe적 인","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"결론고마움","결론","고마움","unrelated","word","word",NA,NA,NA,NA,NA,NA
"결론추정","결론","추정","related","word","word",0.434942120707331,NA,NA,NA,NA,NA
"결정적인만이다","결정적인","만이다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"결정적인최후의","결정적인","최후의","related","word","word",0.321413453428419,NA,NA,NA,NA,NA
"결정적인치즈","결정적인","치즈","unrelated","word","word",0.101501110927998,NA,NA,NA,NA,NA
"결합성하스","결합","성하스","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"결합치유하다","결합","치유하다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"결합혼합물","결합","혼합물","related","word","word",0.368255255092591,NA,NA,NA,NA,NA
"겸손한얌전한","겸손한","얌전한","related","word","word",0.517515811203173,NA,NA,NA,NA,NA
"겸손한의사 소통","겸손한","의사 소통","unrelated","word","word",NA,NA,NA,NA,NA,NA
"겸손한장창","겸손한","장창","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"겼다발열","겼다","발열","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"겼다생각했었","겼다","생각했었","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"경고겸손다 다","경고","겸손다 다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"경고메세지","경고","메세지","related","word","word",0.454252669710807,NA,NA,NA,NA,NA
"경고밝은","경고","밝은","unrelated","word","word",0.140421933231896,NA,NA,NA,NA,NA
"경관관실업","경관관","실업","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"경관관요소","경관관","요소","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"경기장깨뜨리다","경기장","깨뜨리다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"경기장야구","경기장","야구","related","word","word",0.320536964756104,NA,NA,NA,NA,NA
"경기장임에","경기장","임에","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"경매넘겨 사람","경매","넘겨 사람","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"경매옳은","경매","옳은","unrelated","word","word",0.0458495636047223,NA,NA,NA,NA,NA
"경매판매","경매","판매","related","word","word",0.531946509626634,NA,NA,NA,NA,NA
"경비원굴긴한","경비원","굴긴한","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"경비원끔찍한","경비원","끔찍한","unrelated","word","word",0.074994090343229,NA,NA,NA,NA,NA
"경비원순찰","경비원","순찰","related","word","word",0.432441719908501,NA,NA,NA,NA,NA
"경쟁너이자","경쟁","너이자","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"경쟁선수권 대회","경쟁","선수권 대회","related","word","word",NA,NA,NA,NA,NA,NA
