"word_combo","ko_cue","ko_target","type","cue_type","target_type","ko_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"식한시해","식한","시해","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"신경 이상근육","신경 이상","근육","related","word","word",NA,NA,NA,NA,NA,NA
"신경 이상먼을","신경 이상","먼을","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신경 이상은","신경 이상","은","unrelated","word","word",NA,NA,NA,NA,NA,NA
"신나는곧장","신나는","곧장","unrelated","word","word",0.101391225718709,NA,NA,NA,NA,NA
"신나는의야","신나는","의야","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신나는흥미로운","신나는","흥미로운","related","word","word",0.400766298321914,NA,NA,NA,NA,NA
"신랑늦는적인","신랑","늦는적인","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신랑신부","신랑","신부","related","word","word",0.493672548730133,NA,NA,NA,NA,NA
"신랑여권","신랑","여권","unrelated","word","word",0.10759323515396,NA,NA,NA,NA,NA
"신뢰니랑","신뢰","니랑","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신뢰다즐거","신뢰다","즐거","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"신뢰다친구","신뢰다","친구","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"신뢰믿다","신뢰","믿다","related","word","word",0.292376639317084,NA,NA,NA,NA,NA
"신뢰의자","신뢰","의자","unrelated","word","word",0.128008809122241,NA,NA,NA,NA,NA
"신선한새로 고치다","신선한","새로 고치다","related","word","word",NA,NA,NA,NA,NA,NA
"신선한축구","신선한","축구","unrelated","word","word",0.0570502634103867,NA,NA,NA,NA,NA
"신선한침착유효","신선한","침착유효","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신용도대출","신용도","대출","related","word","word",NA,NA,NA,NA,NA,NA
"신용도이넷","신용도","이넷","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신용도장례식","신용도","장례식","unrelated","word","word",NA,NA,NA,NA,NA,NA
"신으한외부의","신으한","외부의","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"신으한틀어적인","신으한","틀어적인","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"신장간","신장","간","related","word","word",0.256280223988081,NA,NA,NA,NA,NA
"신장따뜻","신장","따뜻","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신장안녕히 가십시오","신장","안녕히 가십시오","unrelated","word","word",NA,NA,NA,NA,NA,NA
"신체시체","신체","시체","related","word","word",0.199912946497617,NA,NA,NA,NA,NA
"신체재정적 인","신체","재정적 인","unrelated","word","word",NA,NA,NA,NA,NA,NA
"신체펭에","신체","펭에","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신화수술","신화","수술","unrelated","word","word",0.0923222335374525,NA,NA,NA,NA,NA
"신화전기자","신화","전기자","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"신화전설","신화","전설","related","word","word",0.566016149210645,NA,NA,NA,NA,NA
"실서밴","실서","밴","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"실서해할","실서","해할","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"실수로랩패순위","실수로","랩패순위","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"실수로반품","실수로","반품","unrelated","word","word",NA,NA,NA,NA,NA,NA
"실수로의도적으로","실수로","의도적으로","related","word","word",0.235665556665658,NA,NA,NA,NA,NA
"실제로뚫을 수 없는","실제로","뚫을 수 없는","unrelated","word","word",NA,NA,NA,NA,NA,NA
"실제로완수 있는","실제로","완수 있는","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"실제로진짜","실제로","진짜","related","word","word",0.177411663202106,NA,NA,NA,NA,NA
"실좀놀즈","실좀","놀즈","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"실좀순찰","실좀","순찰","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"실패자상원","실패자","상원","unrelated","word","word",NA,NA,NA,NA,NA,NA
"실패자우승자","실패자","우승자","related","word","word",NA,NA,NA,NA,NA,NA
"실패자타야원","실패자","타야원","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"실험사랑하니운","실험","사랑하니운","nonword","word","nonword",NA,NA,NA,NA,NA,NA
