"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
588,"pi","pi-kn","kn",1,4,"pi-ro","ro",4,0,0,1,"pikniko","piroiko"
808,"lu","lu-la","la",1,14,"ri-la","ri",14,0,0,1,"pilula","pirila"
215,"ng","ng-last_blank","last_blank",1,127,"es-last_blank","es",127,0,0,1,"ping","pies"
236,"mi","mi-de","de",1,10,"el-de","el",10,0,0,1,"piramide","piraelde"
693,"ra","ra-ta","ta",1,70,"ra-ld","ld",70,0,0,1,"pirata","pirald"
677,"su","su-last_blank","last_blank",1,80,"do-last_blank","do",81,1,0,1,"pisu","pido"
230,"tz","tz-ad","ad",1,14,"tz-ig","ig",14,0,0,1,"pitzadura","pitzigura"
58,"pi","pi-zt","zt",1,30,"pi-ka","ka",30,0,0,1,"piztia","pikaia"
781,"pl","pl-an","an",1,93,"ri-an","ri",94,1,0,1,"planeta","rianeta"
327,"pl","pl-an","an",1,93,"ze-an","ze",94,1,0,1,"plano","zeano"
184,"ay","ay-bo","bo",1,3,"rl-bo","rl",3,0,0,1,"playboy","plrlboy"
41,"pl","pl-az","az",1,32,"uk-az","uk",32,0,0,1,"plazer","ukazer"
884,"br","br-ez","ez",1,11,"br-od","od",11,0,0,1,"pobrezia","pobrodia"
815,"li","li-t","t",1,2,"ca-t","ca",2,0,0,1,"polit","pocat"
782,"po","po-li","li",1,153,"mi-li","mi",153,0,0,1,"politikatu","militikatu"
21," e"," e-re","re",1,1,"hy-re","hy",1,0,0,1,"poltsegi ere","poltsegihyre"
218,"lt","lt-si","si",1,16,"ba-si","ba",16,0,0,1,"poltsiko","pobasiko"
572,"po","po-pu","pu",1,7,"po-ll","ll",7,0,0,1,"populazio","polllazio"
811,"po","po-rl","rl",1,4,"gi-rl","gi",4,0,0,1,"porlan","girlan"
355,"po","po-rn","rn",1,13,"po-ko","ko",13,0,0,1,"porn","poko"
353,"po","po-st","st",1,75,"ri-st","ri",74,1,0,1,"posta","rista"
991,"po","po-zi","zi",1,3,"po-or","or",3,0,0,1,"pozik","poork"
93,"zo","zo-in","in",1,14,"ig-in","ig",14,0,0,1,"pozoin","poigin"
563,"ak","ak-ti","ti",1,54,"en-ti","en",54,0,0,1,"praktika","prentika"
647,"pr","pr-em","em",1,19,"pr-os","os",19,0,0,1,"premiazko","prosiazko"
830,"es","es-t","t",1,11,"io-t","io",10,1,0,1,"prest","priot"
810,"ku","ku-nt","nt",1,47,"mi-nt","mi",47,0,0,1,"prestakuntza","prestamintza"
886,"ta","ta-tu","tu",1,252,"ta-ri","ri",258,6,0,1,"prestatu","prestari"
134,"ib","ib-at","at",1,58,"ek-at","ek",58,0,0,1,"pribatu","prekatu"
767,"eg","eg-io","io",1,20,"eg-or","or",20,0,0,1,"pribilegio","pribilegor"
833,"es","es-a","a",1,26,"uk-a","uk",26,0,0,1,"printzesa","printzuka"
279,"xu","xu-ga","ga",1,2,"xu-si","si",2,0,0,1,"probetxugarri","probetxusirri"
211,"pr","pr-of","of",1,54,"pr-in","in",55,1,0,1,"profil","prinil"
177,"ek","ek-tu","tu",1,56,"lo-tu","lo",56,0,0,1,"proiektu","proilotu"
526,"os","os-at","at",1,33,"os-tu","tu",33,0,0,1,"proposatu","propostuu"
283,"ta","ta- e"," e",1,1,"ta-aa","aa",1,0,0,1,"protesta egin","protestaaagin"
839,"oz","oz-es","es",1,24,"er-es","er",24,0,0,1,"prozesua","preresua"
694,"bl","bl-iz","iz",1,12,"if-iz","if",12,0,0,1,"publizitate","puifizitate"
828,"pu","pu-lt","lt",1,9,"pu-ri","ri",9,0,0,1,"pultsu","purisu"
919,"zk","zk-ai","ai",1,9,"rp-ai","rp",9,0,0,1,"puzkailu","purpailu"
857,"ra","ra-da","da",1,31,"ra-to","to",31,0,0,1,"radar","rator"
143,"de","de-o","o",1,4,"el-o","el",4,0,0,1,"rodeo","roelo"
580,"me","me-o","o",1,2,"kl-o","kl",2,0,0,1,"romeo","roklo"
368,"sa","sa-ga","ga",1,28,"sa-si","si",28,0,0,1,"sagar","sasir"
83,"sa","sa-gu","gu",1,25,"sa-it","it",25,0,0,1,"sagu","sait"
660,"sa","sa-il","il",1,74,"sa-rr","rr",73,1,0,1,"sail","sarr"
291,"sa","sa-lt","lt",1,81,"sa-il","il",74,7,0,1,"saltzaile","sailzaile"
437,"ch","ch-last_blank","last_blank",1,50,"me-last_blank","me",50,0,0,1,"sandwich","sandwime"
873,"re","re-last_blank","last_blank",1,191,"uz-last_blank","uz",198,7,0,1,"sare","sauz"
941,"rj","rj-en","en",1,11,"og-en","og",11,0,0,1,"sarjentu","saogentu"
330,"sa","sa-rr","rr",1,73,"sa-il","il",74,1,0,1,"sarrarazi","sailarazi"
164,"sa","sa-rt","rt",1,78,"bo-rt","bo",78,0,0,1,"sartu","bortu"
969,"sk","sk-ib","ib",1,4,"og-ib","og",4,0,0,1,"saskibaloi","saogibaloi"
799,"gi","gi-da","da",1,50,"gi-an","an",51,1,0,1,"segida","segian"
757,"gu","gu-nd","nd",1,48,"gu-rt","rt",49,1,0,1,"segundu","segurtu"
860,"ru","ru-last_blank","last_blank",1,55,"mo-last_blank","mo",55,0,0,1,"seguru","segumo"
517," e"," e-z","z",1,1,"dy-z","dy",1,0,0,1,"sekula ez","sekuladyz"
522,"se","se-n","n",1,160,"ua-n","ua",150,10,0,1,"sen","uan"
262,"na","na-r","r",1,10,"zu-r","zu",10,0,0,1,"senar","sezur"
17,"nd","nd-o","o",1,32,"an-o","an",33,1,0,1,"sendo","seano"
509,"nd","nd-ot","ot",1,18,"rg-ot","rg",18,0,0,1,"sendotasun","sergotasun"
654,"ni","ni-ta","ta",1,48,"ni-re","re",48,0,0,1,"senitarteko","senirerteko"
495,"so","so-re","re",1,29,"so-li","li",30,1,0,1,"sentsore","sentsoli"
359,"xu","xu-al","al",1,48,"rm-al","rm",48,0,0,1,"sexual","sermal"
49,"sh","sh-er","er",1,38,"ck-er","ck",37,1,0,1,"sheria","ckeria"
954,"lo","lo-ck","ck",1,18,"ni-ck","ni",18,0,0,1,"sherlock","shernick"
871,"si","si-nt","nt",1,30,"zo-nt","zo",30,0,0,1,"sintoma","zontoma"
785,"so","so-be","be",1,15,"so-lu","lu",16,1,0,1,"sobera","solura"
764,"so","so-fa","fa",1,8,"if-fa","if",8,0,0,1,"sofa","iffa"
778,"so","so-ft","ft",1,6,"so-ng","ng",6,0,0,1,"software","songware"
874,"so","so-il","il",1,21,"rr-il","rr",21,0,0,1,"soilik","rrilik"
717,"s ","s -eg","eg",1,1,"up-eg","up",1,0,0,1,"solas egin","solaupegin"
396,"ld","ld-ad","ad",1,34,"tr-ad","tr",34,0,0,1,"soldadu","sotradu"
727,"so","so-mo","mo",1,3,"ye-mo","ye",3,0,0,1,"somor","yemor"
149,"so","so-rb","rb",1,20,"ka-rb","ka",20,0,0,1,"sorbalda","karbalda"
297,"lu","lu-last_blank","last_blank",1,82,"do-last_blank","do",81,1,0,1,"sorgailu","sorgaido"
890,"so","so-rk","rk",1,9,"so-me","me",9,0,0,1,"sorkuntza","someuntza"
249,"so","so-rt","rt",1,50,"da-rt","da",48,2,0,1,"sortu","dartu"
714,"fr","fr-at","at",1,8,"tu-at","tu",8,0,0,1,"sufratzen","sutuatzen"
806,"rm","rm-an","an",1,53,"ag-an","ag",53,0,0,1,"superman","supeagan"
377,"su","su-te","te",1,16,"fe-te","fe",16,0,0,1,"sute","fete"
719,"su","su-zi","zi",1,9,"su-eg","eg",9,0,0,1,"suziri","suegri"
983,"ba","ba-ko","ko",1,37,"ba-ri","ri",38,1,0,1,"tabako","tabari"
569,"rn","rn-a","a",1,11,"pe-a","pe",11,0,0,1,"taberna","tabepea"
382,"il","il-er","er",1,95,"il-un","un",94,1,0,1,"tailer","tailun"
676,"ma","ma-in","in",1,33,"ma-rm","rm",33,0,0,1,"tamaina","tamarma"
996,"ta","ta-nt","nt",1,59,"ie-nt","ie",60,1,0,1,"tanta","ienta"
231,"aj","aj-e","e",1,17,"ir-e","ir",17,0,0,1,"tatuaje","tatuire"
665,"xi","xi-last_blank","last_blank",1,18,"im-last_blank","im",18,0,0,1,"taxi","taim"
701,"kn","kn-ik","ik",1,26,"br-ik","br",26,0,0,1,"tekniko","tebriko"
981,"kn","kn-ol","ol",1,12,"nb-ol","nb",12,0,0,1,"teknologia","tenbologia"
661,"am","am-a","a",1,19,"ek-a","ek",19,0,0,1,"telegrama","telegreka"
712,"op","op-io","io",1,21,"ez-io","ez",21,0,0,1,"teleskopio","teleskezio"
722,"te","te-np","np",1,26,"te-ek","ek",26,0,0,1,"tenplu","teeklu"
912,"pi","pi-a","a",1,15,"tt-a","tt",15,0,0,1,"terapia","teratta"
659,"ig","ig-at","at",1,6,"oh-at","oh",6,0,0,1,"testigatu","testohatu"
771,"te","te-st","st",1,46,"pi-st","pi",46,0,0,1,"testu","pistu"
571,"ti","ti-ro","ro",1,47,"xa-ro","xa",47,0,0,1,"tiro","xaro"
670,"to","to-ki","ki",1,77,"ie-ki","ie",77,0,0,1,"toki","ieki"
116,"nt","nt-or","or",1,34,"sk-or","sk",34,0,0,1,"tontor","toskor"
109,"eb","eb-at","at",1,14,"ti-at","ti",14,0,0,1,"trebatu","trtiatu"
914,"es","es-na","na",1,33,"zo-na","zo",33,0,0,1,"tresna","trzona"
928,"im","im-ai","ai",1,7,"im-ie","ie",7,0,0,1,"trikimailu","trikimielu"
940,"ul","ul-az","az",1,20,"ul-ek","ek",20,0,0,1,"tripulazio","tripulekio"
475,"uk","uk-at","at",1,47,"nb-at","nb",49,2,0,1,"trukatu","trnbatu"
715,"tu","tu-mo","mo",1,5,"ne-mo","ne",5,0,0,1,"tumore","nemore"
599,"tx","tx-ak","ak",1,62,"nt-ak","nt",62,0,0,1,"txakur","ntakur"
135,"tx","tx-ak","ak",1,62,"nt-ak","nt",62,0,0,1,"txakurtegi","ntakurtegi"
242,"el","el-du","du",1,23,"ju-du","ju",23,0,0,1,"txapeldun","txapjudun"
154,"el","el-ke","ke",1,15,"ai-ke","ai",15,0,0,1,"txapelketa","txapaiketa"
798,"te","te-l","l",1,10,"ia-l","ia",10,0,0,1,"txartel","txarial"
770,"ri","ri-ki","ki",1,19,"ri-oe","oe",19,0,0,1,"txerriki","txerrioe"
567,"er","er-ta","ta",1,66,"in-ta","in",66,0,0,1,"txertatu","txintatu"
926,"tx","tx-ik","ik",1,115,"ot-ik","ot",115,0,0,1,"txiki","otiki"
930,"im","im-el","el",1,4,"gu-el","gu",4,0,0,1,"tximeleta","txgueleta"
419,"in","in-o","o",1,179,"ok-o","ok",180,1,0,1,"tximino","tximoko"
6,"ir","ir-o","o",1,18,"nk-o","nk",18,0,0,1,"txiro","txnko"
46,"di","di-ga","ga",1,8,"di-sf","sf",8,0,0,1,"txundigarri","txundisfrri"
158,"first_blank","first_blank-ub","ub",1,22,"first_blank-rh","rh",22,0,0,1,"ubide","rhide"
753,"ud","ud-a","a",1,4,"eg-a","eg",4,0,0,1,"uda","ega"
304,"ud","ud-az","az",1,17,"zo-az","zo",17,0,0,1,"udazken","zoazken"
30,"uf","uf-o","o",1,1,"ei-o","ei",1,0,0,1,"ufo","eio"
773,"first_blank","first_blank-uk","uk",1,108,"first_blank-ex","ex",109,1,0,1,"ukatu","exatu"
263,"ui","ui-lu","lu",1,19,"ui-oz","oz",19,0,0,1,"ukuiluzain","ukuiozzain"
935,"um","um-ea","ea",1,32,"nd-ea","nd",33,1,0,1,"umea","ndea"
45,"tx","tx-e","e",1,24,"ld-e","ld",24,0,0,1,"umezurtz-etxe","umezurtzelde"
10,"un","un-e","e",1,17,"ir-e","ir",17,0,0,1,"une","ire"
936,"er","er-ts","ts",1,39,"er-it","it",39,0,0,1,"unibertsitate","uniberititate"
641,"ts","ts-o","o",1,4,"az-o","az",4,0,0,1,"unibertso","uniberazo"
967,"un","un-it","it",1,20,"os-it","os",20,0,0,1,"unitate","ositate"
633,"da","da-il","il",1,14,"da-mi","mi",14,0,0,1,"urdail","urdami"
206,"first_blank","first_blank-ur","ur",1,471,"first_blank-am","am",471,0,0,1,"urduritasun","amduritasun"
